districtid,monthid,cases
AP_Anantapur,1,0
AP_Anantapur,2,118
AP_Anantapur,3,345
AP_Anantapur,4,3188
AP_Anantapur,5,24445
AP_Anantapur,6,21693
AP_Anantapur,7,11821
AP_Anantapur,8,4493
AP_Anantapur,9,911
AP_Anantapur,10,535
AP_Anantapur,11,146
AP_Anantapur,12,162
AP_Anantapur,13,2224
AP_Anantapur,14,37805
AP_Anantapur,15,41980
AP_Anantapur,16,5409
AP_Anantapur,17,1496
AP_Chittoor,1,0
AP_Chittoor,2,151
AP_Chittoor,3,202
AP_Chittoor,4,2721
AP_Chittoor,5,18445
AP_Chittoor,6,28627
AP_Chittoor,7,21579
AP_Chittoor,8,10250
AP_Chittoor,9,2914
AP_Chittoor,10,1810
AP_Chittoor,11,510
AP_Chittoor,12,861
AP_Chittoor,13,8103
AP_Chittoor,14,54995
AP_Chittoor,15,57810
AP_Chittoor,16,16513
AP_Chittoor,17,9380
AP_East Godavari,1,0
AP_East Godavari,2,51
AP_East Godavari,3,301
AP_East Godavari,4,2763
AP_East Godavari,5,35177
AP_East Godavari,6,39928
AP_East Godavari,7,29668
AP_East Godavari,8,12414
AP_East Godavari,9,2714
AP_East Godavari,10,1011
AP_East Godavari,11,333
AP_East Godavari,12,286
AP_East Godavari,13,2460
AP_East Godavari,14,49697
AP_East Godavari,15,71663
AP_East Godavari,16,22683
AP_East Godavari,17,11240
AP_Guntur,1,0
AP_Guntur,2,404
AP_Guntur,3,219
AP_Guntur,4,2733
AP_Guntur,5,21584
AP_Guntur,6,21064
AP_Guntur,7,14953
AP_Guntur,8,9833
AP_Guntur,9,3178
AP_Guntur,10,1275
AP_Guntur,11,372
AP_Guntur,12,296
AP_Guntur,13,7606
AP_Guntur,14,46209
AP_Guntur,15,27837
AP_Guntur,16,7853
AP_Guntur,17,5077
AP_Krishna,1,0
AP_Krishna,2,351
AP_Krishna,3,350
AP_Krishna,4,2043
AP_Krishna,5,9039
AP_Krishna,6,9692
AP_Krishna,7,11435
AP_Krishna,8,10134
AP_Krishna,9,3677
AP_Krishna,10,1564
AP_Krishna,11,535
AP_Krishna,12,332
AP_Krishna,13,4379
AP_Krishna,14,20979
AP_Krishna,15,21343
AP_Krishna,16,8908
AP_Krishna,17,6838
AP_Kurnool,1,0
AP_Kurnool,2,591
AP_Kurnool,3,385
AP_Kurnool,4,2847
AP_Kurnool,5,28189
AP_Kurnool,6,19954
AP_Kurnool,7,6467
AP_Kurnool,8,1482
AP_Kurnool,9,501
AP_Kurnool,10,298
AP_Kurnool,11,133
AP_Kurnool,12,114
AP_Kurnool,13,2752
AP_Kurnool,14,34742
AP_Kurnool,15,21248
AP_Kurnool,16,3006
AP_Kurnool,17,863
AP_Prakasam,1,0
AP_Prakasam,2,63
AP_Prakasam,3,38
AP_Prakasam,4,1137
AP_Prakasam,5,9525
AP_Prakasam,6,26123
AP_Prakasam,7,18360
AP_Prakasam,8,5668
AP_Prakasam,9,890
AP_Prakasam,10,303
AP_Prakasam,11,86
AP_Prakasam,12,59
AP_Prakasam,13,2104
AP_Prakasam,14,24327
AP_Prakasam,15,26602
AP_Prakasam,16,10155
AP_Prakasam,17,6347
AP_S.P.S. Nellore,1,0
AP_S.P.S. Nellore,2,126
AP_S.P.S. Nellore,3,270
AP_S.P.S. Nellore,4,1023
AP_S.P.S. Nellore,5,14750
AP_S.P.S. Nellore,6,27961
AP_S.P.S. Nellore,7,13161
AP_S.P.S. Nellore,8,3563
AP_S.P.S. Nellore,9,955
AP_S.P.S. Nellore,10,438
AP_S.P.S. Nellore,11,151
AP_S.P.S. Nellore,12,138
AP_S.P.S. Nellore,13,3266
AP_S.P.S. Nellore,14,35211
AP_S.P.S. Nellore,15,22499
AP_S.P.S. Nellore,16,6880
AP_S.P.S. Nellore,17,6965
AP_Srikakulam,1,0
AP_Srikakulam,2,7
AP_Srikakulam,3,48
AP_Srikakulam,4,1359
AP_Srikakulam,5,11906
AP_Srikakulam,6,19427
AP_Srikakulam,7,9339
AP_Srikakulam,8,2909
AP_Srikakulam,9,728
AP_Srikakulam,10,319
AP_Srikakulam,11,120
AP_Srikakulam,12,138
AP_Srikakulam,13,2812
AP_Srikakulam,14,41803
AP_Srikakulam,15,23782
AP_Srikakulam,16,4961
AP_Srikakulam,17,1732
AP_Visakhapatnam,1,0
AP_Visakhapatnam,2,66
AP_Visakhapatnam,3,150
AP_Visakhapatnam,4,1273
AP_Visakhapatnam,5,21913
AP_Visakhapatnam,6,20936
AP_Visakhapatnam,7,8644
AP_Visakhapatnam,8,4256
AP_Visakhapatnam,9,1417
AP_Visakhapatnam,10,830
AP_Visakhapatnam,11,439
AP_Visakhapatnam,12,326
AP_Visakhapatnam,13,5743
AP_Visakhapatnam,14,42317
AP_Visakhapatnam,15,36976
AP_Visakhapatnam,16,5215
AP_Visakhapatnam,17,3197
AP_Vizianagaram,1,0
AP_Vizianagaram,2,4
AP_Vizianagaram,3,68
AP_Vizianagaram,4,760
AP_Vizianagaram,5,10852
AP_Vizianagaram,6,16743
AP_Vizianagaram,7,9398
AP_Vizianagaram,8,2433
AP_Vizianagaram,9,618
AP_Vizianagaram,10,221
AP_Vizianagaram,11,52
AP_Vizianagaram,12,33
AP_Vizianagaram,13,1155
AP_Vizianagaram,14,19805
AP_Vizianagaram,15,15933
AP_Vizianagaram,16,2878
AP_Vizianagaram,17,823
AP_West Godavari,1,0
AP_West Godavari,2,69
AP_West Godavari,3,217
AP_West Godavari,4,1740
AP_West Godavari,5,20051
AP_West Godavari,6,29488
AP_West Godavari,7,25194
AP_West Godavari,8,13345
AP_West Godavari,9,3293
AP_West Godavari,10,686
AP_West Godavari,11,203
AP_West Godavari,12,96
AP_West Godavari,13,480
AP_West Godavari,14,21742
AP_West Godavari,15,35583
AP_West Godavari,16,14164
AP_West Godavari,17,5636
AP_Y.S.R. Kadapa,1,0
AP_Y.S.R. Kadapa,2,99
AP_Y.S.R. Kadapa,3,148
AP_Y.S.R. Kadapa,4,1735
AP_Y.S.R. Kadapa,5,14151
AP_Y.S.R. Kadapa,6,20358
AP_Y.S.R. Kadapa,7,12367
AP_Y.S.R. Kadapa,8,4710
AP_Y.S.R. Kadapa,9,1085
AP_Y.S.R. Kadapa,10,490
AP_Y.S.R. Kadapa,11,173
AP_Y.S.R. Kadapa,12,151
AP_Y.S.R. Kadapa,13,2104
AP_Y.S.R. Kadapa,14,22122
AP_Y.S.R. Kadapa,15,22334
AP_Y.S.R. Kadapa,16,6561
AP_Y.S.R. Kadapa,17,3018
AR_Anjaw,1,0
AR_Anjaw,2,0
AR_Anjaw,3,0
AR_Anjaw,4,4
AR_Anjaw,5,30
AR_Anjaw,6,45
AR_Anjaw,7,80
AR_Anjaw,8,26
AR_Anjaw,9,15
AR_Anjaw,10,4
AR_Anjaw,11,0
AR_Anjaw,12,0
AR_Anjaw,13,0
AR_Anjaw,14,103
AR_Anjaw,15,286
AR_Anjaw,16,218
AR_Anjaw,17,183
AR_Changlang,1,0
AR_Changlang,2,0
AR_Changlang,3,59
AR_Changlang,4,52
AR_Changlang,5,198
AR_Changlang,6,304
AR_Changlang,7,418
AR_Changlang,8,157
AR_Changlang,9,77
AR_Changlang,10,13
AR_Changlang,11,4
AR_Changlang,12,1
AR_Changlang,13,2
AR_Changlang,14,274
AR_Changlang,15,1149
AR_Changlang,16,590
AR_Changlang,17,357
AR_East Kameng,1,0
AR_East Kameng,2,0
AR_East Kameng,3,0
AR_East Kameng,4,2
AR_East Kameng,5,148
AR_East Kameng,6,93
AR_East Kameng,7,52
AR_East Kameng,8,7
AR_East Kameng,9,2
AR_East Kameng,10,0
AR_East Kameng,11,0
AR_East Kameng,12,0
AR_East Kameng,13,0
AR_East Kameng,14,33
AR_East Kameng,15,346
AR_East Kameng,16,249
AR_East Kameng,17,139
AR_East Siang,1,0
AR_East Siang,2,0
AR_East Siang,3,9
AR_East Siang,4,13
AR_East Siang,5,161
AR_East Siang,6,234
AR_East Siang,7,303
AR_East Siang,8,302
AR_East Siang,9,80
AR_East Siang,10,38
AR_East Siang,11,4
AR_East Siang,12,0
AR_East Siang,13,3
AR_East Siang,14,201
AR_East Siang,15,434
AR_East Siang,16,686
AR_East Siang,17,495
AR_Kamle,1,0
AR_Kamle,2,0
AR_Kamle,3,0
AR_Kamle,4,0
AR_Kamle,5,1
AR_Kamle,6,2
AR_Kamle,7,16
AR_Kamle,8,10
AR_Kamle,9,0
AR_Kamle,10,1
AR_Kamle,11,0
AR_Kamle,12,0
AR_Kamle,13,0
AR_Kamle,14,6
AR_Kamle,15,118
AR_Kamle,16,145
AR_Kamle,17,179
AR_Kra Daadi,1,0
AR_Kra Daadi,2,0
AR_Kra Daadi,3,0
AR_Kra Daadi,4,0
AR_Kra Daadi,5,0
AR_Kra Daadi,6,4
AR_Kra Daadi,7,27
AR_Kra Daadi,8,5
AR_Kra Daadi,9,1
AR_Kra Daadi,10,0
AR_Kra Daadi,11,0
AR_Kra Daadi,12,0
AR_Kra Daadi,13,0
AR_Kra Daadi,14,13
AR_Kra Daadi,15,88
AR_Kra Daadi,16,77
AR_Kra Daadi,17,45
AR_Kurung Kumey,1,0
AR_Kurung Kumey,2,0
AR_Kurung Kumey,3,0
AR_Kurung Kumey,4,0
AR_Kurung Kumey,5,0
AR_Kurung Kumey,6,20
AR_Kurung Kumey,7,84
AR_Kurung Kumey,8,10
AR_Kurung Kumey,9,3
AR_Kurung Kumey,10,0
AR_Kurung Kumey,11,0
AR_Kurung Kumey,12,0
AR_Kurung Kumey,13,0
AR_Kurung Kumey,14,6
AR_Kurung Kumey,15,125
AR_Kurung Kumey,16,231
AR_Kurung Kumey,17,28
AR_Lepa Rada,1,0
AR_Lepa Rada,2,0
AR_Lepa Rada,3,0
AR_Lepa Rada,4,8
AR_Lepa Rada,5,9
AR_Lepa Rada,6,63
AR_Lepa Rada,7,81
AR_Lepa Rada,8,75
AR_Lepa Rada,9,39
AR_Lepa Rada,10,10
AR_Lepa Rada,11,1
AR_Lepa Rada,12,0
AR_Lepa Rada,13,3
AR_Lepa Rada,14,49
AR_Lepa Rada,15,103
AR_Lepa Rada,16,149
AR_Lepa Rada,17,202
AR_Lohit,1,0
AR_Lohit,2,1
AR_Lohit,3,1
AR_Lohit,4,2
AR_Lohit,5,112
AR_Lohit,6,75
AR_Lohit,7,179
AR_Lohit,8,184
AR_Lohit,9,8
AR_Lohit,10,10
AR_Lohit,11,1
AR_Lohit,12,0
AR_Lohit,13,2
AR_Lohit,14,206
AR_Lohit,15,600
AR_Lohit,16,657
AR_Lohit,17,650
AR_Longding,1,0
AR_Longding,2,0
AR_Longding,3,1
AR_Longding,4,4
AR_Longding,5,12
AR_Longding,6,69
AR_Longding,7,118
AR_Longding,8,38
AR_Longding,9,4
