districtid,overallid,cases
AP_Anantapur,1,156771
AP_Chittoor,1,234871
AP_East Godavari,1,282389
AP_Guntur,1,170493
AP_Krishna,1,111599
AP_Kurnool,1,123572
AP_Prakasam,1,131787
AP_S.P.S. Nellore,1,137357
AP_Srikakulam,1,121390
AP_Visakhapatnam,1,153698
AP_Vizianagaram,1,81776
AP_West Godavari,1,171987
AP_Y.S.R. Kadapa,1,111606
AR_Anjaw,1,994
AR_Changlang,1,3655
AR_East Kameng,1,1071
AR_East Siang,1,2963
AR_Kamle,1,478
AR_Kra Daadi,1,260
AR_Kurung Kumey,1,507
AR_Lepa Rada,1,792
AR_Lohit,1,2688
AR_Longding,1,731
AR_Lower Dibang Valley,1,2168
AR_Lower Siang,1,709
AR_Lower Subansiri,1,2647
AR_Namsai,1,1969
AR_Pakke Kessang,1,396
AR_Papum Pare,1,17303
AR_Shi Yomi,1,224
AR_Siang,1,393
AR_Tawang,1,2299
AR_Tirap,1,1008
AR_Upper Dibang Valley,1,290
AR_Upper Siang,1,896
AR_Upper Subansiri,1,1914
AR_West Kameng,1,3207
AR_West Siang,1,1738
AS_Dibrugarh,1,0
AS_Udalguri,1,0
BR_Araria,1,14963
BR_Arwal,1,7379
BR_Aurangabad1,1,20010
BR_Banka,1,7379
BR_Begusarai,1,27183
BR_Bhagalpur,1,25827
BR_Bhojpur,1,10174
BR_Buxar,1,9248
BR_Darbhanga,1,10908
BR_East Champaran,1,19000
BR_Gaya,1,33940
BR_Gopalganj,1,16671
BR_Jamui,1,9413
BR_Jehanabad,1,10774
BR_Kaimur,1,4983
BR_Katihar,1,18129
BR_Khagaria,1,10057
BR_Kishanganj,1,10107
BR_Lakhisarai,1,7771
BR_Madhepura,1,12523
BR_Madhubani,1,18339
BR_Munger,1,15102
BR_Muzaffarpur,1,31382
BR_Nalanda,1,23424
BR_Nawada,1,10345
BR_Patna,1,146846
BR_Purnia,1,24413
BR_Rohtas,1,13962
BR_Saharsa,1,17592
BR_Samastipur,1,19988
BR_Saran,1,23267
BR_Sheikhpura,1,7690
BR_Sheohar,1,4397
BR_Sitamarhi,1,9174
BR_Siwan,1,15195
BR_Supaul,1,17205
BR_Vaishali,1,19809
BR_West Champaran,1,20886
CH_Chandigarh,1,62028
CT_Balod,1,27258
CT_Baloda Bazar,1,43007
CT_Balrampur2,1,20280
CT_Bametara,1,19945
CT_Bastar,1,20953
CT_Bijapur,1,8269
CT_Bilaspur1,1,65471
CT_Dakshin Bastar Dantewada,1,10754
CT_Dhamtari,1,27197
CT_Durg,1,96652
CT_Gariaband,1,19673
CT_Janjgir Champa,1,57461
CT_Jashpur,1,26950
CT_Kabeerdham,1,22770
CT_Kondagaon,1,13072
CT_Korba,1,54592
CT_Koriya,1,26923
CT_Mahasamund,1,31324
CT_Mungeli,1,23893
CT_Narayanpur,1,4006
CT_Raigarh,1,62486
CT_Raipur,1,157803
CT_Rajnandgaon,1,56012
CT_Sukma,1,7975
CT_Surajpur,1,29016
CT_Surguja,1,33641
CT_Uttar Bastar Kanker,1,23542
DL_New Delhi,1,1437038
DN_Dadra and Nagar Haveli,1,5905
DN_Daman,1,3535
DN_Diu,1,1218
GJ_Ahmedabad,1,238044
GJ_Amreli,1,10806
GJ_Anand,1,9624
GJ_Aravalli,1,5184
GJ_Banaskantha,1,13631
GJ_Bharuch,1,11425
GJ_Bhavnagar,1,21413
GJ_Botad,1,2218
GJ_Chhota Udaipur,1,3395
GJ_Dahod,1,9944
GJ_Dang,1,864
GJ_Devbhumi Dwarka,1,4173
GJ_Gandhinagar,1,20741
GJ_Gir Somnath,1,8557
GJ_Jamnagar,1,34951
GJ_Junagadh,1,20470
GJ_Kheda,1,10422
GJ_Kutch,1,12587
GJ_Mahisagar,1,8192
GJ_Mehsana,1,24414
GJ_Morbi,1,6502
GJ_Narmada,1,5952
GJ_Navsari,1,7156
GJ_Panchmahal,1,11770
GJ_Patan,1,11624
GJ_Porbandar,1,3477
GJ_Rajkot,1,57925
GJ_Sabarkantha,1,9314
GJ_Surat,1,143502
GJ_Surendranagar,1,8121
GJ_Tapi,1,4438
GJ_Vadodara,1,77924
GJ_Valsad,1,6244
HP_Bilaspur2,1,13165
HP_Chamba,1,12993
HP_Hamirpur1,1,14883
HP_Kangra,1,46992
HP_Kinnaur,1,3348
HP_Kullu,1,9321
HP_Lahaul and Spiti,1,2829
HP_Mandi,1,28890
HP_Shimla,1,26157
HP_Sirmaur,1,15404
HP_Solan,1,22476
HP_Una,1,13503
HR_Ambala,1,30105
HR_Bhiwani,1,22395
HR_Charkhi Dadri,1,5069
HR_Faridabad,1,99808
HR_Fatehabad,1,17861
HR_Gurugram,1,180992
HR_Hisar,1,53979
HR_Jhajjar,1,18829
HR_Jind,1,21202
HR_Kaithal,1,11218
HR_Karnal,1,40000
HR_Kurukshetra,1,22116
HR_Mahendragarh,1,21687
HR_Nuh,1,5011
HR_Palwal,1,10984
HR_Panchkula,1,30658
HR_Panipat,1,31135
HR_Rewari,1,20304
HR_Rohtak,1,25879
HR_Sirsa,1,29257
HR_Sonipat,1,47126
HR_Yamunanagar,1,24571
JH_Bokaro,1,19415
JH_Chatra,1,6027
JH_Deoghar,1,10806
JH_Dhanbad,1,16519
JH_Dumka,1,4632
JH_East Singhbhum,1,51789
JH_Garhwa,1,6885
JH_Giridih,1,8959
JH_Godda,1,5836
JH_Gumla,1,9894
JH_Hazaribagh,1,19582
JH_Jamtara,1,5555
JH_Khunti,1,7787
JH_Koderma,1,12871
JH_Latehar,1,7864
JH_Lohardaga,1,6691
JH_Pakur,1,2550
JH_Palamu,1,12289
JH_Ramgarh,1,13901
JH_Ranchi,1,85489
JH_Sahibganj,1,4818
JH_Simdega,1,7191
JH_West Singhbhum,1,13004
JK_Anantnag,1,16374
JK_Bandipora,1,9552
JK_Baramulla,1,23756
JK_Budgam,1,23013
JK_Doda,1,7405
JK_Ganderbal,1,10013
JK_Jammu,1,52907
JK_Kathua,1,9273
JK_Kishtwar,1,4707
JK_Kulgam,1,11326
JK_Kupwara,1,14151
JK_Pulwama,1,15255
JK_Punch,1,6289
JK_Rajouri,1,11022
JK_Ramban,1,5980
JK_Reasi,1,6424
JK_Samba,1,7130
JK_Shopiyan,1,5589
JK_Srinagar,1,71794
JK_Udhampur,1,11365
KA_Bagalkote,1,35136
KA_Ballari,1,97511
KA_Belagavi,1,78762
KA_Bengaluru Rural,1,61271
KA_Bengaluru Urban,1,1232597
KA_Bidar,1,24284
KA_Chamarajanagara,1,32638
KA_Chikkaballapura,1,43797
KA_Chikkamagaluru,1,49244
KA_Chitradurga,1,36163
KA_Dakshina Kannada,1,105533
KA_Davanagere,1,50543
KA_Dharwad,1,60620
KA_Gadag,1,26011
KA_Hassan,1,108159
KA_Haveri,1,21886
KA_Kalaburagi,1,61697
KA_Kodagu,1,34217
