districtid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
AP_Anantapur,40,122,5,15
AP_Chittoor,49,123,6,15
AP_East Godavari,52,123,6,15
AP_Guntur,39,121,5,14
AP_Krishna,58,123,7,15
AP_Kurnool,42,119,5,14
AP_Prakasam,50,119,6,15
AP_S.P.S. Nellore,50,120,6,14
AP_Srikakulam,48,118,6,14
AP_Visakhapatnam,40,120,5,14
AP_Vizianagaram,50,119,6,14
AP_West Godavari,51,123,6,15
AP_Y.S.R. Kadapa,49,121,6,15
AR_Anjaw,58,127,7,15
AR_Changlang,59,125,7,15
AR_East Kameng,42,128,5,15
AR_East Siang,62,137,7,16
AR_Kamle,57,138,7,10
AR_Kra Daadi,57,129,7,15
AR_Kurung Kumey,56,134,7,16
AR_Lepa Rada,60,141,0,7
AR_Lohit,63,141,8,16
AR_Longding,55,138,7,16
AR_Lower Dibang Valley,117,141,8,14
AR_Lower Siang,57,145,7,15
AR_Lower Subansiri,52,145,7,15
AR_Namsai,41,125,5,15
AR_Pakke Kessang,54,135,7,16
AR_Papum Pare,55,141,0,7
AR_Shi Yomi,68,137,0,8
AR_Siang,48,140,0,8
AR_Tawang,49,125,6,15
AR_Tirap,59,142,7,12
AR_Upper Dibang Valley,59,126,7,15
AR_Upper Siang,63,124,8,15
AR_Upper Subansiri,45,135,7,16
AR_West Kameng,44,138,6,16
AR_West Siang,59,142,3,7
AS_Dibrugarh,0,0,0,0
AS_Udalguri,0,0,0,0
BR_Araria,43,120,6,14
BR_Arwal,44,119,5,14
BR_Aurangabad1,44,116,6,14
BR_Banka,42,117,5,14
BR_Begusarai,43,117,5,14
BR_Bhagalpur,42,116,5,14
BR_Bhojpur,42,115,5,14
BR_Buxar,42,116,5,14
BR_Darbhanga,43,118,5,14
BR_East Champaran,43,120,5,14
BR_Gaya,43,117,5,14
BR_Gopalganj,42,118,6,14
BR_Jamui,39,119,5,14
BR_Jehanabad,43,116,5,14
BR_Kaimur,43,116,5,14
BR_Katihar,42,120,5,14
BR_Khagaria,40,118,5,14
BR_Kishanganj,43,122,6,14
BR_Lakhisarai,44,117,6,14
BR_Madhepura,43,118,6,14
BR_Madhubani,44,119,6,14
BR_Munger,42,120,5,14
BR_Muzaffarpur,45,119,6,14
BR_Nalanda,39,118,5,14
BR_Nawada,39,117,5,14
BR_Patna,42,119,5,14
BR_Purnia,44,117,6,14
BR_Rohtas,42,117,5,14
BR_Saharsa,43,118,6,14
BR_Samastipur,42,120,5,14
BR_Saran,43,116,5,14
BR_Sheikhpura,42,119,5,14
BR_Sheohar,43,119,5,14
BR_Sitamarhi,44,118,5,14
BR_Siwan,35,118,5,14
BR_Supaul,53,117,7,14
BR_Vaishali,42,119,5,14
BR_West Champaran,43,118,5,14
CH_Chandigarh,52,119,6,14
CT_Balod,67,116,9,14
CT_Baloda Bazar,53,117,7,14
CT_Balrampur2,62,120,7,14
CT_Bametara,67,112,8,14
CT_Bastar,92,116,7,14
CT_Bijapur,59,128,7,15
CT_Bilaspur1,53,116,7,14
CT_Dakshin Bastar Dantewada,56,119,7,14
CT_Dhamtari,54,116,7,14
CT_Durg,54,112,7,14
CT_Gariaband,92,114,7,14
CT_Janjgir Champa,60,119,8,14
CT_Jashpur,62,119,8,14
CT_Kabeerdham,52,117,7,14
CT_Kondagaon,61,119,8,14
CT_Korba,60,118,8,14
CT_Koriya,57,120,7,14
CT_Mahasamund,53,118,9,14
CT_Mungeli,56,118,7,14
CT_Narayanpur,54,121,7,14
CT_Raigarh,57,119,7,14
CT_Raipur,51,113,6,14
CT_Rajnandgaon,52,113,7,14
CT_Sukma,56,127,7,15
CT_Surajpur,62,120,7,14
CT_Surguja,56,119,7,14
CT_Uttar Bastar Kanker,59,116,7,14
DL_New Delhi,69,115,8,14
DN_Dadra and Nagar Haveli,44,115,5,14
DN_Daman,40,116,5,14
DN_Diu,48,126,6,14
GJ_Ahmedabad,13,116,3,14
GJ_Amreli,43,121,6,14
GJ_Anand,73,121,9,14
GJ_Aravalli,66,120,9,14
GJ_Banaskantha,72,116,9,14
GJ_Bharuch,57,114,6,14
GJ_Bhavnagar,48,118,6,14
GJ_Botad,40,114,5,14
GJ_Chhota Udaipur,48,119,6,14
GJ_Dahod,39,117,5,14
GJ_Dang,48,117,6,14
GJ_Devbhumi Dwarka,48,121,6,14
GJ_Gandhinagar,72,117,9,14
GJ_Gir Somnath,43,120,5,14
GJ_Jamnagar,53,118,7,14
GJ_Junagadh,35,121,7,14
GJ_Kheda,75,118,9,14
GJ_Kutch,55,116,7,14
GJ_Mahisagar,72,117,9,14
GJ_Mehsana,75,119,9,14
GJ_Morbi,44,118,6,14
GJ_Narmada,63,118,8,14
GJ_Navsari,38,118,5,14
GJ_Panchmahal,45,120,6,14
GJ_Patan,73,117,9,14
GJ_Porbandar,46,123,6,15
GJ_Rajkot,57,114,7,14
GJ_Sabarkantha,63,122,9,14
GJ_Surat,56,115,7,14
GJ_Surendranagar,39,117,5,14
GJ_Tapi,50,117,6,14
GJ_Vadodara,75,121,9,14
GJ_Valsad,39,118,5,14
HP_Bilaspur2,75,121,9,14
HP_Chamba,76,121,9,14
UP_Hamirpur,48,118,6,14
HP_Kangra,76,120,9,14
HP_Kinnaur,76,123,9,15
HP_Kullu,72,120,9,14
HP_Lahaul and Spiti,71,118,9,14
HP_Mandi,69,120,9,14
HP_Shimla,75,120,9,14
HP_Sirmaur,53,121,7,14
HP_Solan,52,119,9,14
HP_Una,53,121,9,14
HR_Ambala,52,119,6,14
HR_Bhiwani,69,121,8,14
HR_Charkhi Dadri,53,120,8,14
HR_Faridabad,71,119,9,14
HR_Fatehabad,52,120,8,14
HR_Gurugram,72,118,9,14
HR_Hisar,69,120,8,14
HR_Jhajjar,51,122,8,14
HR_Jind,54,117,9,14
HR_Kaithal,48,118,6,14
HR_Karnal,51,117,6,14
HR_Kurukshetra,51,120,6,14
HR_Mahendragarh,69,120,8,14
HR_Nuh,51,119,6,14
HR_Palwal,54,121,7,14
HR_Panchkula,51,120,6,14
HR_Panipat,51,119,6,14
HR_Rewari,68,124,8,14
HR_Rohtak,53,118,9,14
HR_Sirsa,52,121,7,14
HR_Sonipat,53,119,7,14
HR_Yamunanagar,51,119,6,14
JH_Bokaro,50,119,6,14
JH_Chatra,48,117,6,14
JH_Deoghar,40,117,6,14
JH_Dhanbad,46,116,6,14
JH_Dumka,48,116,6,14
JH_East Singhbhum,50,119,6,14
JH_Garhwa,55,121,6,14
JH_Giridih,49,119,6,14
JH_Godda,40,118,7,14
JH_Gumla,52,119,6,14
JH_Hazaribagh,50,118,6,14
JH_Jamtara,48,116,6,14
JH_Khunti,50,120,6,14
JH_Koderma,48,116,6,14
JH_Latehar,48,119,6,14
JH_Lohardaga,56,117,7,14
JH_Pakur,48,120,6,14
JH_Palamu,54,121,6,14
JH_Ramgarh,50,116,6,14
JH_Ranchi,49,116,7,14
JH_Sahibganj,48,115,6,14
JH_Simdega,51,119,6,14
JH_West Singhbhum,50,120,6,14
JK_Anantnag,53,119,6,14
JK_Bandipora,52,123,6,15
JK_Baramulla,66,119,8,14
JK_Budgam,52,120,6,14
JK_Doda,53,121,7,15
JK_Ganderbal,53,124,6,15
JK_Jammu,50,120,6,14
JK_Kathua,53,120,7,14
JK_Kishtwar,52,121,7,15
JK_Kulgam,37,120,5,14
JK_Kupwara,51,125,6,15
JK_Pulwama,52,121,5,15
JK_Punch,52,122,7,15
JK_Rajouri,53,120,7,14
JK_Ramban,54,123,7,15
JK_Reasi,114,137,7,14
JK_Samba,54,121,7,14
JK_Shopiyan,37,120,5,14
JK_Srinagar,51,118,7,14
JK_Udhampur,52,122,7,14
KA_Bagalkote,51,120,6,14
KA_Ballari,43,122,6,14
KA_Belagavi,49,122,6,15
KA_Bengaluru Rural,62,122,7,14
KA_Bengaluru Urban,59,119,7,14
KA_Bidar,44,119,5,14
KA_Chamarajanagara,58,120,7,14
KA_Chikkaballapura,62,119,7,14
KA_Chikkamagaluru,57,122,7,15
KA_Chitradurga,60,126,7,15
KA_Dakshina Kannada,52,120,7,14
KA_Davanagere,48,123,6,15
KA_Dharwad,49,123,6,14
KA_Gadag,49,122,6,15
KA_Hassan,59,120,7,15
KA_Haveri,51,124,6,15
KA_Kalaburagi,39,119,6,14
KA_Kodagu,60,120,7,14
KA_Kolar,59,120,7,14
KA_Koppal,49,123,6,15
KA_Mandya,57,121,7,14
KA_Mysuru,59,118,6,15
KA_Raichur,42,120,6,14
KA_Ramanagara,59,119,6,14
KA_Shivamogga,44,122,6,15
KA_Tumakuru,60,120,7,14
KA_Udupi,45,120,6,15
KA_Uttara Kannada,52,122,7,15
KA_Vijayapura,43,120,5,14
KA_Yadgir,45,120,6,14
KL_Alappuzha,119,146,8,14
KL_Ernakulam,58,120,8,14
KL_Idukki,118,143,11,14
KL_Kannur,120,144,7,14
KL_Kasaragod,120,144,7,14
KL_Kollam,122,144,8,15
KL_Kottayam,118,144,10,14
KL_Kozhikode,118,144,8,14
KL_Malappuram,121,144,7,14
KL_Palakkad,121,144,8,15
KL_Pathanamthitta,95,120,11,14
KL_Thiruvananthapuram,120,143,7,14
KL_Thrissur,118,144,8,14
KL_Wayanad,119,145,10,14
LA_Kargil,26,121,6,14
LA_Leh,68,114,8,14
LD_Lakshadweep,0,123,12,15
MH_Ahmednagar,53,119,7,14
MH_Akola,53,106,7,14
MH_Amravati,98,123,7,14
MH_Aurangabad2,51,107,6,13
MH_Beed,53,118,7,14
MH_Bhandara,56,113,7,14
MH_Buldhana,52,119,7,14
MH_Chandrapur,57,115,7,14
MH_Dhule,50,111,6,13
MH_Gadchiroli,60,115,8,14
MH_Gondia,55,114,7,14
MH_Hingoli,55,114,7,14
MH_Jalgaon,52,112,6,13
MH_Jalna,62,115,6,14
MH_Kolhapur,51,125,6,15
MH_Latur,51,113,6,14
MH_Mumbai,57,111,7,13
MH_Nagpur,53,115,6,14
MH_Nanded,50,112,6,13
MH_Nandurbar,48,117,6,13
MH_Nashik,54,117,7,14
MH_Osmanabad,53,117,6,14
MH_Palghar,116,143,6,14
MH_Parbhani,50,117,6,14
MH_Pune,51,114,6,14
MH_Raigad,51,115,6,14
MH_Ratnagiri,121,143,6,14
MH_Sangli,53,119,6,14
MH_Satara,52,125,7,14
MH_Sindhudurg,50,128,7,15
