districtid,overallid,dose1,dose2
AP_Anantapur,1,1349051,596616
AP_Chittoor,1,1535587,640524
AP_East Godavari,1,1887124,552172
AP_Guntur,1,1736256,591355
AP_Krishna,1,1731602,557064
AP_Kurnool,1,1221288,492121
AP_Prakasam,1,1210019,515654
AP_S.P.S. Nellore,1,1125871,528033
AP_Srikakulam,1,1002587,336259
AP_Visakhapatnam,1,1846944,622918
AP_Vizianagaram,1,906229,219675
AP_West Godavari,1,1622387,431859
AP_Y.S.R. Kadapa,1,1027687,394728
AR_Anjaw,1,10535,2549
AR_Changlang,1,74622,16906
AR_East Kameng,1,20161,6183
AR_East Siang,1,50402,16004
AR_Kamle,1,6031,1537
AR_Kra Daadi,1,5632,1741
AR_Kurung Kumey,1,8107,2847
AR_Lepa Rada,1,12354,4959
AR_Lohit,1,27352,6710
AR_Longding,1,17573,3204
AR_Lower Dibang Valley,1,29501,8102
AR_Lower Siang,1,15513,4567
AR_Lower Subansiri,1,24258,8072
AR_Namsai,1,57104,12607
AR_Pakke Kessang,1,7420,2984
AR_Papum Pare,1,55590,19452
AR_Papum Pare,1,55590,19452
AR_Shi Yomi,1,6494,2298
AR_Siang,1,13614,4273
AR_Tawang,1,26884,9166
AR_Tirap,1,28381,5633
AR_Upper Dibang Valley,1,3757,1234
AR_Upper Siang,1,16946,6264
AR_Upper Subansiri,1,22859,7267
AR_West Kameng,1,49200,13683
AR_West Siang,1,31641,12244
AS_Baksa,1,261768,43270
AS_Barpeta,1,499516,133227
AS_Biswanath,1,340078,50896
AS_Bongaigaon,1,267309,57011
AS_Cachar,1,481925,101033
AS_Charaideo,1,198431,31628
AS_Chirang,1,150119,32727
AS_Darrang,1,277530,57412
AS_Dhemaji,1,276131,56393
AS_Dhubri,1,325470,73673
AS_Dibrugarh,1,548136,138425
AS_Dima Hasao,1,80870,21550
AS_Goalpara,1,288506,53445
AS_Golaghat,1,485352,88664
AS_Hailakandi,1,232700,43885
AS_Hojai,1,304767,68769
AS_Jorhat,1,499049,100079
AS_Kamrup,1,602114,144157
AS_Kamrup Metropolitan,1,1009529,312303
AS_Karbi Anglong,1,147708,37250
AS_Karimganj,1,280815,60453
AS_Kokrajhar,1,257826,51094
AS_Lakhimpur,1,433058,71887
AS_Majuli,1,101004,28296
AS_Morigaon,1,350143,51108
AS_Nagaon,1,598487,132126
AS_Nalbari,1,263232,51269
AS_Sivasagar,1,345141,65459
AS_Sonitpur,1,564467,135528
AS_South Salmara Mankachar,1,146606,8487
AS_Tinsukia,1,397045,81804
AS_Udalguri,1,219605,44457
AS_West Karbi Anglong,1,73455,13119
BR_Araria,1,557915,103824
BR_Arwal,1,210179,28474
BR_Aurangabad1,1,532576,71360
BR_Banka,1,480806,77742
BR_Begusarai,1,702910,112529
BR_Bhagalpur,1,879261,170988
BR_Bhojpur,1,586187,99551
BR_Buxar,1,405243,75792
BR_Darbhanga,1,959951,185612
BR_East Champaran,1,1163093,207812
BR_Gaya,1,930919,202415
BR_Gopalganj,1,525774,84542
BR_Jamui,1,378379,59472
BR_Jehanabad,1,277086,53212
BR_Kaimur,1,336727,45740
BR_Katihar,1,613134,89975
BR_Khagaria,1,359741,56765
BR_Kishanganj,1,327606,50253
BR_Lakhisarai,1,217262,33930
BR_Madhepura,1,403887,70339
BR_Madhubani,1,934022,186666
BR_Munger,1,373994,64450
BR_Muzaffarpur,1,1046864,193496
BR_Nalanda,1,755179,169822
BR_Nawada,1,479168,84567
BR_Patna,1,2462740,855819
BR_Purnia,1,817303,163272
BR_Rohtas,1,661448,110046
BR_Saharsa,1,418538,77479
BR_Samastipur,1,945191,176116
BR_Saran,1,1015916,212980
BR_Sheikhpura,1,163669,29858
BR_Sheohar,1,166514,38021
BR_Sitamarhi,1,711255,121124
BR_Siwan,1,897095,181049
BR_Supaul,1,447013,78453
BR_Vaishali,1,771914,137158
BR_West Champaran,1,797983,98509
CH_Chandigarh,1,726867,244234
CT_Balod,1,331919,104496
CT_Baloda Bazar,1,336847,84674
CT_Balrampur2,1,189637,39957
CT_Bametara,1,172207,44761
CT_Bastar,1,261014,70838
CT_Bijapur,1,74922,28016
CT_Bilaspur1,1,560110,192235
CT_Dakshin Bastar Dantewada,1,106743,35215
CT_Dhamtari,1,304679,91368
CT_Durg,1,593807,258583
CT_Gariaband,1,161728,39237
CT_Janjgir Champa,1,439530,131712
CT_Jashpur,1,250767,65084
CT_Kabeerdham,1,248626,63222
CT_Kondagaon,1,164966,32720
CT_Korba,1,407348,123322
CT_Koriya,1,175685,47727
CT_Mahasamund,1,452937,144480
CT_Mungeli,1,191076,50046
CT_Narayanpur,1,33185,11991
CT_Raigarh,1,884136,270605
CT_Raipur,1,1127142,394961
CT_Rajnandgaon,1,668801,170960
CT_Sukma,1,102637,33216
CT_Surajpur,1,220919,49147
CT_Surguja,1,325862,101497
CT_Uttar Bastar Kanker,1,238519,72083
DL_New Delhi,1,8072826,3263034
DN_Dadra and Nagar Haveli,1,346814,41464
DN_Daman,1,210047,35244
DN_Diu,1,37459,13642
GA_North Goa,1,521158,158119
GA_South Goa,1,578380,171481
GJ_Ahmedabad,1,6399608,2035322
GJ_Ahmedabad,1,6399608,2035322
GJ_Amreli,1,597035,221915
GJ_Anand,1,919296,300551
GJ_Aravalli,1,471777,181254
GJ_Banaskantha,1,1316330,489197
GJ_Bharuch,1,806236,223145
GJ_Bhavnagar,1,643816,265420
GJ_Bhavnagar,1,643816,265420
GJ_Botad,1,292852,61961
GJ_Chhota Udaipur,1,416440,153733
GJ_Dahod,1,706676,355177
GJ_Dang,1,65643,17846
GJ_Devbhumi Dwarka,1,396490,136967
GJ_Gandhinagar,1,633828,202988
GJ_Gandhinagar,1,633828,202988
GJ_Gir Somnath,1,527318,145611
GJ_Jamnagar,1,664138,229290
GJ_Jamnagar,1,664138,229290
GJ_Junagadh,1,365630,137808
GJ_Junagadh,1,365630,137808
GJ_Kheda,1,863959,267484
GJ_Kutch,1,911079,265734
GJ_Mahisagar,1,426593,221624
GJ_Mehsana,1,947030,356885
GJ_Morbi,1,424884,103388
GJ_Narmada,1,284131,118086
GJ_Navsari,1,619469,229345
GJ_Panchmahal,1,658152,223002
GJ_Patan,1,553477,182788
GJ_Porbandar,1,312545,129120
GJ_Rajkot,1,1840726,654596
GJ_Rajkot,1,1840726,654596
GJ_Sabarkantha,1,678120,215686
GJ_Surat,1,4894172,1565096
GJ_Surat,1,4894172,1565096
GJ_Surendranagar,1,738751,134571
GJ_Tapi,1,349777,107999
GJ_Vadodara,1,2453350,900544
GJ_Vadodara,1,2453350,900544
GJ_Valsad,1,741907,269206
HP_Bilaspur2,1,286158,100084
HP_Chamba,1,299484,82398
HP_Hamirpur1,1,353727,134409
HP_Kangra,1,1049565,332518
HP_Kinnaur,1,72170,22903
HP_Kullu,1,290649,87337
HP_Lahaul and Spiti,1,26539,8595
HP_Mandi,1,674658,233544
HP_Shimla,1,548881,189175
HP_Sirmaur,1,321881,74356
HP_Solan,1,558252,120780
HP_Una,1,392082,127147
HR_Ambala,1,639607,256629
HR_Bhiwani,1,414974,103054
HR_Charkhi Dadri,1,305252,88366
HR_Faridabad,1,1019121,311080
HR_Fatehabad,1,321956,82393
HR_Gurugram,1,1512341,517662
HR_Hisar,1,491583,120255
HR_Jhajjar,1,384167,107813
HR_Jind,1,333517,81282
HR_Kaithal,1,329385,81819
HR_Karnal,1,538262,192220
HR_Kurukshetra,1,343003,106861
HR_Mahendragarh,1,356406,106498
HR_Nuh,1,151420,24748
HR_Palwal,1,344642,73996
HR_Panchkula,1,331992,126331
HR_Panipat,1,353993,111897
HR_Rewari,1,350806,126591
HR_Rohtak,1,376842,116915
HR_Sirsa,1,431503,122678
HR_Sonipat,1,566382,191310
HR_Yamunanagar,1,417263,140517
JH_Bokaro,1,453901,144263
JH_Chatra,1,259020,44673
JH_Deoghar,1,376001,78189
JH_Dhanbad,1,584202,202378
JH_Dumka,1,353204,71955
JH_East Singhbhum,1,759386,271408
