districtid,vaccinateddose1ratio,vaccinateddose2ratio
CT_Bijapur,0.03649100664988465,0.012893767644882656
TG_Adilabad,0.037491805712672265,0.012564026704712723
TG_Mahabubnagar,0.040173420958355084,0.0158079342160972
MN_Senapati,0.05275614215232037,0.010347533538697856
TG_Warangal Rural,0.05638067440322223,0.013629241307286639
TG_Medak,0.05785701852247462,0.018973470372744033
TN_Kancheepuram,0.07671127282622506,0.011719621474584394
PB_Ferozepur,0.08936342390666875,0.022856731691402087
AR_Kurung Kumey,0.09311872800729831,0.0309201094747817
TG_Nalgonda,0.09710276486904271,0.02317553067536801
TN_Vellore,0.10285491743453486,0.03073750657655568
MN_Ukhrul,0.10287611821867629,0.030984032435135166
TG_Karimnagar,0.10568791577083095,0.043391506272460995
TG_Nizamabad,0.12112756654849324,0.046405509272596505
TN_Tirunelveli,0.12159690215203074,0.023418766144780067
ML_East Garo Hills,0.12233067121292665,0.032508484919019746
TN_Viluppuram,0.1260789280207744,0.020357787059542228
WB_Jalpaiguri,0.1296496168450798,0.03967805587931975
MN_Tamenglong,0.13138904095953816,0.035051297182387614
UP_Sultanpur,0.13208810789870315,0.02805812936498928
GJ_Junagadh,0.13617019104787972,0.050238381499350004
CT_Surguja,0.14159582284906982,0.043020722187427696
UP_Moradabad,0.1419499472548861,0.032021543979617796
UP_Budaun,0.14540986491742297,0.026255222852573784
UP_Rae Bareli,0.1463460183775997,0.023724445825193455
WB_Bankura,0.14880303302439976,0.04846199572160279
TG_Khammam,0.15100362125853928,0.037550627911216605
AS_Karbi Anglong,0.15681372103066674,0.03895168213754283
WB_Paschim Medinipur,0.16033700760824,0.06429690788315531
UP_Ballia,0.1647330955801238,0.03631210078233852
WB_Murshidabad,0.16497801812464782,0.06954848294724224
NL_Kiphire,0.16547754175449975,0.04799740554564618
UP_Muzaffarnagar,0.16816314276391622,0.030053008172777104
AS_Dhubri,0.168595947791416,0.03784824789740506
UP_Rampur,0.1715912063391898,0.03390331185763965
UP_Sitapur,0.17164861132669282,0.026792643697847812
MN_Chandel,0.17267758804843877,0.05365440901083353
ML_West Khasi Hills,0.17530596331830356,0.057278315135046325
PB_Mansa,0.1758763548212344,0.040240285494919786
NL_Tuensang,0.17616838592850312,0.0483021017721622
WB_Malda,0.17784371165086635,0.06740698121887413
UP_Pratapgarh1,0.1781937907994694,0.03297393289980091
NL_Phek,0.17946615427921037,0.058818490007220746
WB_Uttar Dinajpur,0.1798915512245214,0.05754815049811548
PB_Sangrur,0.18098151910771648,0.04857328768240585
UP_Sant Kabir Nagar,0.18199923856521433,0.03138207409938182
CT_Durg,0.1830677131182055,0.07735074787551677
