districtid,vaccineratio
OR_Khordha,0.23133879598266568
AS_Barpeta,0.8175445806790419
BR_Patna,0.9303614262811958
MH_Bhandara,1.18200693259198
AS_Sonitpur,1.3939737445866878
MH_Gondia,1.409047594475119
MH_Washim,1.5209167038962768
TG_Ranga Reddy,2.0917717354681136
TG_Hyderabad,2.195341649599702
MH_Sindhudurg,2.5243195041628774
TG_Medchal Malkajgiri,2.556294463080014
RJ_Jaipur,2.5934046869161373
GJ_Chhota Udaipur,2.650625841519972
TN_Chennai,2.69187813138854
OR_Ganjam,2.720724030069213
MH_Ratnagiri,2.758072925483292
MP_Jabalpur,2.784700280975798
MH_Parbhani,2.8001883215208236
GJ_Amreli,2.861830399438023
GJ_Aravalli,2.954907695769044
MH_Buldhana,2.957847949462121
TN_Vellore,2.9603262465827704
UP_Sonbhadra,3.048922753039565
UP_Amethi,3.052419554324242
JH_Khunti,3.069781291713728
UP_Fatehpur,3.101741305556227
HR_Palwal,3.105898669356403
JH_Hazaribagh,3.135452955768527
DL_New Delhi,3.2224026619649226
GJ_Gir Somnath,3.3174342934974526
MH_Nanded,3.3332083741853626
HR_Karnal,3.3610857597079518
MH_Amravati,3.3628811553468076
GJ_Navsari,3.3741068674497745
MH_Dhule,3.3995421508900536
CT_Raipur,3.4352665696748477
JH_Palamu,3.436266312193588
TG_Mulugu,3.49829277935521
PB_Fatehgarh Sahib,3.5247451989092387
MH_Hingoli,3.5977255175129095
TG_Yadadri Bhuvanagiri,3.6037524229826765
TG_Jayashankar Bhupalapally,3.671781033153431
GJ_Kheda,3.6876517143980254
MH_Osmanabad,3.7096896541915174
HR_Sonipat,3.859330161726604
MH_Ahmednagar,3.8884608449610254
MP_Tikamgarh,3.8930761818821407
RJ_Ajmer,3.8965012917633666
JH_Lohardaga,3.9463053004382016
MH_Latur,3.959435048796751
MH_Gadchiroli,3.9623322007463933
AP_Guntur,3.9683476973510285
UP_Kushinagar,4.029314571366772
JH_Ranchi,4.031428213468704
GJ_Devbhumi Dwarka,4.044001333654398
PB_Amritsar,4.076947539382376
KA_Chamarajanagara,4.1247704027862815
GJ_Porbandar,4.125337895637297
