stateid,weekid,dose1,dose2
AP,1,0,0
AP,2,0,0
AP,3,0,0
AP,4,0,0
AP,5,0,0
AP,6,0,0
AP,7,0,0
AP,8,0,0
AP,9,0,0
AP,10,0,0
AP,11,0,0
AP,12,0,0
AP,13,0,0
AP,14,0,0
AP,15,0,0
AP,16,0,0
AP,17,0,0
AP,18,0,0
AP,19,0,0
AP,20,0,0
AP,21,0,0
AP,22,0,0
AP,23,0,0
AP,24,0,0
AP,25,0,0
AP,26,0,0
AP,27,0,0
AP,28,0,0
AP,29,0,0
AP,30,0,0
AP,31,0,0
AP,32,0,0
AP,33,0,0
AP,34,0,0
AP,35,0,0
AP,36,0,0
AP,37,0,0
AP,38,0,0
AP,39,0,0
AP,40,0,0
AP,41,0,0
AP,42,0,0
AP,43,0,0
AP,44,4216,0
AP,45,66164,0
AP,46,63191,0
AP,47,112367,0
AP,48,67569,6233
AP,49,100311,81237
AP,50,122137,50342
AP,51,117103,45307
AP,52,195605,54193
AP,53,445838,61917
AP,54,667934,73728
AP,55,604379,47066
AP,56,714537,101863
AP,57,728632,76034
AP,58,533335,528629
AP,59,631642,392788
AP,60,261632,454871
AP,61,48503,193005
AP,62,79268,180783
AP,63,1710372,133539
AP,64,956613,90939
AP,65,1025779,47528
AP,66,593831,32276
AP,67,2069989,254321
AP,68,1251921,361815
AP,69,299752,204683
AP,70,1035127,644884
AP,71,402582,537279
AP,72,1186472,917332
AP,73,1380322,567504
AP,74,1039018,345116
AR,1,0,0
AR,2,0,0
AR,3,0,0
AR,4,0,0
AR,5,0,0
AR,6,0,0
AR,7,0,0
AR,8,0,0
AR,9,0,0
AR,10,0,0
AR,11,0,0
AR,12,0,0
AR,13,0,0
AR,14,0,0
AR,15,0,0
AR,16,0,0
AR,17,0,0
AR,18,0,0
AR,19,0,0
AR,20,0,0
AR,21,0,0
AR,22,0,0
AR,23,0,0
AR,24,0,0
AR,25,0,0
AR,26,0,0
AR,27,0,0
AR,28,0,0
AR,29,0,0
AR,30,0,0
AR,31,0,0
AR,32,0,0
AR,33,0,0
AR,34,0,0
AR,35,0,0
AR,36,0,0
AR,37,0,0
AR,38,0,0
AR,39,0,0
AR,40,0,0
AR,41,0,0
AR,42,0,0
AR,43,0,0
AR,44,65,0
AR,45,2328,0
AR,46,3860,0
AR,47,2683,0
AR,48,3320,382
AR,49,6582,3696
AR,50,5999,2696
AR,51,12351,2700
AR,52,8802,2458
AR,53,10631,3646
AR,54,11145,3439
AR,55,9421,3348
AR,56,21598,6714
AR,57,30030,7018
AR,58,24421,9259
AR,59,21669,8700
AR,60,15276,13422
AR,61,10069,7322
AR,62,24571,158
AR,63,8972,195
AR,64,22426,316
AR,65,35706,427
AR,66,60980,557
AR,67,67099,1771
AR,68,60880,7480
AR,69,52972,19764
AR,70,32772,21002
AR,71,23352,18310
AR,72,16398,13233
AR,73,15724,8389
AR,74,12108,14466
AS,1,0,0
AS,2,0,0
AS,3,0,0
AS,4,0,0
AS,5,0,0
AS,6,0,0
AS,7,0,0
AS,8,0,0
AS,9,0,0
AS,10,0,0
AS,11,0,0
AS,12,0,0
AS,13,0,0
AS,14,0,0
AS,15,0,0
AS,16,0,0
AS,17,0,0
AS,18,0,0
AS,19,0,0
AS,20,0,0
AS,21,0,0
AS,22,0,0
AS,23,0,0
AS,24,0,0
AS,25,0,0
AS,26,0,0
AS,27,0,0
AS,28,0,0
AS,29,0,0
AS,30,0,0
AS,31,0,0
AS,32,0,0
AS,33,0,0
AS,34,0,0
AS,35,0,0
AS,36,0,0
AS,37,0,0
AS,38,0,0
AS,39,0,0
AS,40,0,0
AS,41,0,0
AS,42,0,0
AS,43,0,0
AS,44,401,0
AS,45,3660,0
AS,46,26512,0
AS,47,47925,0
AS,48,43552,2006
AS,49,31279,8584
AS,50,42047,17168
AS,51,148225,24810
AS,52,126257,31299
AS,53,87796,24516
AS,54,332813,33017
AS,55,140106,32020
AS,56,205566,76537
AS,57,59536,40762
AS,58,297277,122152
AS,59,427578,140664
AS,60,325788,103004
AS,61,285358,74338
AS,62,306861,46646
AS,63,308163,49656
AS,64,220749,20593
AS,65,374072,69556
AS,66,427672,138079
AS,67,1389486,127319
AS,68,643862,111854
AS,69,263231,50524
AS,70,671272,181569
AS,71,720674,184910
AS,72,751471,217665
AS,73,1480028,220949
AS,74,1240836,292703
BR,1,0,0
BR,2,0,0
BR,3,0,0
BR,4,0,0
BR,5,0,0
BR,6,0,0
BR,7,0,0
BR,8,0,0
BR,9,0,0
BR,10,0,0
BR,11,0,0
BR,12,0,0
BR,13,0,0
BR,14,0,0
BR,15,0,0
BR,16,0,0
BR,17,0,0
BR,18,0,0
BR,19,0,0
BR,20,0,0
BR,21,0,0
BR,22,0,0
BR,23,0,0
BR,24,0,0
BR,25,0,0
BR,26,0,0
BR,27,0,0
BR,28,0,0
BR,29,0,0
BR,30,0,0
BR,31,0,0
BR,32,0,0
BR,33,0,0
BR,34,0,0
BR,35,0,0
BR,36,0,0
BR,37,0,0
BR,38,0,0
BR,39,0,0
BR,40,0,0
BR,41,0,0
BR,42,0,0
BR,43,0,0
BR,44,2967,0
BR,45,35442,0
BR,46,67342,0
BR,47,224576,0
BR,48,121379,55
BR,49,67654,38347
BR,50,39961,39826
BR,51,84363,106740
BR,52,429095,107410
BR,53,379926,75699
BR,54,637591,40374
BR,55,672940,28164
BR,56,1190747,100629
BR,57,941202,145577
BR,58,585058,199000
BR,59,448482,237224
BR,60,375673,359313
BR,61,875670,211098
BR,62,612349,40111
BR,63,638997,43592
BR,64,652055,65897
BR,65,948946,67327
BR,66,1439227,131631
BR,67,2036374,137168
BR,68,1215113,220262
BR,69,1158201,278383
BR,70,1671900,436012
BR,71,1098865,293284
BR,72,1899663,487583
BR,73,2393761,508959
BR,74,2221859,459602
CH,1,0,0
CH,2,0,0
CH,3,0,0
CH,4,0,0
CH,5,0,0
CH,6,0,0
CH,7,0,0
CH,8,0,0
CH,9,0,0
CH,10,0,0
CH,11,0,0
CH,12,0,0
CH,13,0,0
CH,14,0,0
CH,15,0,0
CH,16,0,0
CH,17,0,0
CH,18,0,0
CH,19,0,0
CH,20,0,0
CH,21,0,0
CH,22,0,0
CH,23,0,0
CH,24,0,0
CH,25,0,0
CH,26,0,0
CH,27,0,0
CH,28,0,0
CH,29,0,0
CH,30,0,0
CH,31,0,0
CH,32,0,0
CH,33,0,0
CH,34,0,0
CH,35,0,0
CH,36,0,0
CH,37,0,0
CH,38,0,0
CH,39,0,0
CH,40,0,0
CH,41,0,0
CH,42,0,0
CH,43,0,0
CH,44,120,0
CH,45,670,0
CH,46,1416,0
CH,47,1652,0
CH,48,2851,117
CH,49,3670,629
CH,50,6548,894
CH,51,10599,1513
CH,52,10773,2549
CH,53,9532,3134
CH,54,7357,2411
CH,55,19340,2062
CH,56,22216,4955
CH,57,20990,7256
CH,58,20260,11207
CH,59,25605,12890
CH,60,23846,13379
CH,61,23717,10676
CH,62,26558,950
CH,63,27027,232
CH,64,38028,244
CH,65,22874,633
CH,66,47250,1427
CH,67,44405,4400
CH,68,39330,13394
CH,69,33578,20091
CH,70,48697,22202
CH,71,38004,30968
CH,72,45069,26949
CH,73,64627,23069
CH,74,46970,26120
CT,1,0,0
CT,2,0,0
CT,3,0,0
CT,4,0,0
CT,5,0,0
CT,6,0,0
CT,7,0,0
CT,8,0,0
CT,9,0,0
CT,10,0,0
CT,11,0,0
CT,12,0,0
CT,13,0,0
CT,14,0,0
CT,15,0,0
CT,16,0,0
CT,17,0,0
CT,18,0,0
CT,19,0,0
CT,20,0,0
CT,21,0,0
CT,22,0,0
CT,23,0,0
CT,24,0,0
CT,25,0,0
CT,26,0,0
CT,27,0,0
CT,28,0,0
CT,29,0,0
CT,30,0,0
CT,31,0,0
CT,32,0,0
CT,33,0,0
CT,34,0,0
CT,35,0,0
CT,36,0,0
CT,37,0,0
CT,38,0,0
CT,39,0,0
CT,40,0,0
CT,41,0,0
CT,42,0,0
CT,43,0,0
CT,44,1001,0
CT,45,10862,0
CT,46,44729,0
CT,47,95417,0
CT,48,94083,841
CT,49,92098,19581
CT,50,35240,30549
CT,51,133808,68503
CT,52,186249,70839
CT,53,376762,76392
CT,54,346289,37823
CT,55,868490,31522
CT,56,1394756,66798
CT,57,644864,86564
CT,58,332694,108307
CT,59,153667,140814
CT,60,81575,138946
CT,61,99265,193632
CT,62,33664,11220
CT,63,33832,11242
CT,64,23811,28498
CT,65,16590,26277
CT,66,20765,28275
CT,67,1015565,203500
CT,68,942359,262681
CT,69,324093,182849
CT,70,392510,146820
CT,71,370054,165567
CT,72,367534,164757
CT,73,483921,239660
CT,74,256296,210601
DL,1,0,0
DL,2,0,0
DL,3,0,0
DL,4,0,0
DL,5,0,0
DL,6,0,0
DL,7,0,0
DL,8,0,0
DL,9,0,0
DL,10,0,0
DL,11,0,0
DL,12,0,0
DL,13,0,0
DL,14,0,0
DL,15,0,0
DL,16,0,0
DL,17,0,0
