stateid,vaccinationratio,populationratio,ratioofratios
DN,0.4972214975215236,0.7059649306372998,0.7043147271815102
NL,0.7523847773701235,0.9309070715923209,0.8082275882630968
JK,0.7455523824517059,0.8919171561092959,0.8358986900800746
UP,0.7773261374414208,0.9124296109304356,0.8519299769861204
DL,0.7397172033543211,0.8679572767250237,0.8522507077138889
AR,0.8033579917120449,0.9382318829211443,0.8562467406360404
GJ,0.7974629706791058,0.9170865575625509,0.8695612907015202
JH,0.8298622564235161,0.9451982026909841,0.8779769725131661
LD,0.8319943102494534,0.9464722398333484,0.8790477683697814
MN,0.8669173936818035,0.9851395745544583,0.879994486135508
GA,0.8596636196403641,0.9733000514110994,0.8832462490821981
TG,0.8808932523250146,0.987902335269874,0.8916805041101287
PB,0.8058120313972532,0.8956986613666754,0.8996463499987023
MH,0.8475130522156464,0.9358956426903037,0.9055636264951563
ML,0.8967162142153613,0.9850804332069775,0.9102974579406251
MP,0.849083273532351,0.9309320997228939,0.9120786293491153
OR,0.8967089763985514,0.980115430152195,0.914901397133711
HR,0.8075723237232737,0.8773601447030279,0.9204570421837702
CH,0.7546896226228866,0.8176636017793454,0.9229830225786999
AS,0.8957232319358874,0.9577582478885868,0.9352289410303093
SK,0.8328783514908655,0.8899216887980933,0.9359007224733795
WB,0.8949992243612688,0.9481957243397962,0.9438971315594502
BR,0.8816548936683207,0.9191163981116056,0.9592418277812773
TN,0.9656517481107499,0.9964325615920648,0.9691089847243306
RJ,0.9084739427334689,0.9281720003520576,0.9787775782817009
UT,0.9537175300456313,0.9631641958490575,0.9901920504892744
TR,0.9507338376957786,0.9600747128644412,0.9902706788924858
CT,0.9814388477352691,0.9853478869684421,0.9960328333932905
KL,1.0862531101289639,1.0843078720382304,1.0017939905638396
PY,1.055091250685835,1.037434425249056,1.0170197026501604
HP,0.9973037075952007,0.9715256702355313,1.0265335627759788
LA,0.7717062430775049,0.749783102401184,1.029239310149978
MZ,1.0048864292805646,0.975740943819901,1.0298701060412232
KA,1.060810556729689,0.9887437397211081,1.0728872549209856
AP,1.191942444125399,0.9963886832229583,1.1962625270591138
