districtid,monthid,dose1,dose2
AP_Anantapur,1,0,0
AP_Anantapur,2,0,0
AP_Anantapur,3,0,0
AP_Anantapur,4,0,0
AP_Anantapur,5,0,0
AP_Anantapur,6,0,0
AP_Anantapur,7,0,0
AP_Anantapur,8,0,0
AP_Anantapur,9,0,0
AP_Anantapur,10,0,0
AP_Anantapur,11,0,0
AP_Anantapur,12,37664,12739
AP_Anantapur,13,247138,19856
AP_Anantapur,14,145179,138488
AP_Anantapur,15,255680,31260
AP_Anantapur,16,331417,101799
AP_Anantapur,17,331973,292474
AP_Chittoor,1,0,0
AP_Chittoor,2,0,0
AP_Chittoor,3,0,0
AP_Chittoor,4,0,0
AP_Chittoor,5,0,0
AP_Chittoor,6,0,0
AP_Chittoor,7,0,0
AP_Chittoor,8,0,0
AP_Chittoor,9,0,0
AP_Chittoor,10,0,0
AP_Chittoor,11,0,0
AP_Chittoor,12,51481,21464
AP_Chittoor,13,301198,29836
AP_Chittoor,14,142743,138756
AP_Chittoor,15,290964,46657
AP_Chittoor,16,344063,84497
AP_Chittoor,17,405138,319314
AP_East Godavari,1,0,0
AP_East Godavari,2,0,0
AP_East Godavari,3,0,0
AP_East Godavari,4,0,0
AP_East Godavari,5,0,0
AP_East Godavari,6,0,0
AP_East Godavari,7,0,0
AP_East Godavari,8,0,0
AP_East Godavari,9,0,0
AP_East Godavari,10,0,0
AP_East Godavari,11,0,0
AP_East Godavari,12,57430,25601
AP_East Godavari,13,284349,39754
AP_East Godavari,14,117259,139769
AP_East Godavari,15,449305,49546
AP_East Godavari,16,459931,110817
AP_East Godavari,17,518850,186685
AP_Guntur,1,0,0
AP_Guntur,2,0,0
AP_Guntur,3,0,0
AP_Guntur,4,0,0
AP_Guntur,5,0,0
AP_Guntur,6,0,0
AP_Guntur,7,0,0
AP_Guntur,8,0,0
AP_Guntur,9,0,0
AP_Guntur,10,0,0
AP_Guntur,11,0,0
AP_Guntur,12,53718,17868
AP_Guntur,13,259840,33024
AP_Guntur,14,161797,112864
AP_Guntur,15,368959,65573
AP_Guntur,16,464820,115211
AP_Guntur,17,427122,246815
AP_Krishna,1,0,0
AP_Krishna,2,0,0
AP_Krishna,3,0,0
AP_Krishna,4,0,0
AP_Krishna,5,0,0
AP_Krishna,6,0,0
AP_Krishna,7,0,0
AP_Krishna,8,0,0
AP_Krishna,9,0,0
AP_Krishna,10,0,0
AP_Krishna,11,0,0
AP_Krishna,12,47857,20469
AP_Krishna,13,289038,25617
AP_Krishna,14,133678,142162
AP_Krishna,15,440711,68656
AP_Krishna,16,375048,131110
AP_Krishna,17,445270,169050
AP_Kurnool,1,0,0
AP_Kurnool,2,0,0
AP_Kurnool,3,0,0
AP_Kurnool,4,0,0
AP_Kurnool,5,0,0
AP_Kurnool,6,0,0
AP_Kurnool,7,0,0
AP_Kurnool,8,0,0
AP_Kurnool,9,0,0
AP_Kurnool,10,0,0
AP_Kurnool,11,0,0
AP_Kurnool,12,30493,15074
AP_Kurnool,13,238431,20149
AP_Kurnool,14,99301,117334
AP_Kurnool,15,261391,26473
AP_Kurnool,16,284107,73875
AP_Kurnool,17,307565,239216
AP_Prakasam,1,0,0
AP_Prakasam,2,0,0
AP_Prakasam,3,0,0
AP_Prakasam,4,0,0
AP_Prakasam,5,0,0
AP_Prakasam,6,0,0
AP_Prakasam,7,0,0
AP_Prakasam,8,0,0
AP_Prakasam,9,0,0
AP_Prakasam,10,0,0
AP_Prakasam,11,0,0
AP_Prakasam,12,26572,10598
AP_Prakasam,13,220967,23417
AP_Prakasam,14,106198,107527
AP_Prakasam,15,290723,53990
AP_Prakasam,16,321230,62132
AP_Prakasam,17,244329,257990
AP_S.P.S. Nellore,1,0,0
AP_S.P.S. Nellore,2,0,0
AP_S.P.S. Nellore,3,0,0
AP_S.P.S. Nellore,4,0,0
AP_S.P.S. Nellore,5,0,0
AP_S.P.S. Nellore,6,0,0
AP_S.P.S. Nellore,7,0,0
AP_S.P.S. Nellore,8,0,0
AP_S.P.S. Nellore,9,0,0
AP_S.P.S. Nellore,10,0,0
AP_S.P.S. Nellore,11,0,0
AP_S.P.S. Nellore,12,41369,23078
AP_S.P.S. Nellore,13,208389,34130
AP_S.P.S. Nellore,14,109506,117798
AP_S.P.S. Nellore,15,260743,25673
AP_S.P.S. Nellore,16,260949,148451
AP_S.P.S. Nellore,17,244915,178903
AP_Srikakulam,1,0,0
AP_Srikakulam,2,0,0
AP_Srikakulam,3,0,0
AP_Srikakulam,4,0,0
AP_Srikakulam,5,0,0
AP_Srikakulam,6,0,0
AP_Srikakulam,7,0,0
AP_Srikakulam,8,0,0
AP_Srikakulam,9,0,0
AP_Srikakulam,10,0,0
AP_Srikakulam,11,0,0
AP_Srikakulam,12,31735,19604
AP_Srikakulam,13,180152,18037
AP_Srikakulam,14,79216,73897
AP_Srikakulam,15,273609,19623
AP_Srikakulam,16,263582,87996
AP_Srikakulam,17,174293,117102
AP_Visakhapatnam,1,0,0
AP_Visakhapatnam,2,0,0
AP_Visakhapatnam,3,0,0
AP_Visakhapatnam,4,0,0
AP_Visakhapatnam,5,0,0
AP_Visakhapatnam,6,0,0
AP_Visakhapatnam,7,0,0
AP_Visakhapatnam,8,0,0
AP_Visakhapatnam,9,0,0
AP_Visakhapatnam,10,0,0
AP_Visakhapatnam,11,0,0
AP_Visakhapatnam,12,53082,23442
AP_Visakhapatnam,13,283951,31362
AP_Visakhapatnam,14,144540,127856
AP_Visakhapatnam,15,452250,49829
AP_Visakhapatnam,16,453246,109245
AP_Visakhapatnam,17,459875,281184
AP_Vizianagaram,1,0,0
AP_Vizianagaram,2,0,0
AP_Vizianagaram,3,0,0
AP_Vizianagaram,4,0,0
AP_Vizianagaram,5,0,0
AP_Vizianagaram,6,0,0
AP_Vizianagaram,7,0,0
AP_Vizianagaram,8,0,0
AP_Vizianagaram,9,0,0
AP_Vizianagaram,10,0,0
AP_Vizianagaram,11,0,0
AP_Vizianagaram,12,22691,12208
AP_Vizianagaram,13,163208,14968
AP_Vizianagaram,14,64345,69226
AP_Vizianagaram,15,215990,14838
AP_Vizianagaram,16,223189,47235
AP_Vizianagaram,17,216806,61200
AP_West Godavari,1,0,0
AP_West Godavari,2,0,0
AP_West Godavari,3,0,0
AP_West Godavari,4,0,0
AP_West Godavari,5,0,0
AP_West Godavari,6,0,0
AP_West Godavari,7,0,0
AP_West Godavari,8,0,0
AP_West Godavari,9,0,0
AP_West Godavari,10,0,0
AP_West Godavari,11,0,0
AP_West Godavari,12,47196,17098
AP_West Godavari,13,219748,34808
AP_West Godavari,14,104313,109868
AP_West Godavari,15,399994,55813
AP_West Godavari,16,451595,55349
AP_West Godavari,17,399541,158923
AP_Y.S.R. Kadapa,1,0,0
AP_Y.S.R. Kadapa,2,0,0
AP_Y.S.R. Kadapa,3,0,0
AP_Y.S.R. Kadapa,4,0,0
AP_Y.S.R. Kadapa,5,0,0
AP_Y.S.R. Kadapa,6,0,0
AP_Y.S.R. Kadapa,7,0,0
AP_Y.S.R. Kadapa,8,0,0
AP_Y.S.R. Kadapa,9,0,0
AP_Y.S.R. Kadapa,10,0,0
AP_Y.S.R. Kadapa,11,0,0
AP_Y.S.R. Kadapa,12,34619,11892
AP_Y.S.R. Kadapa,13,227708,22896
AP_Y.S.R. Kadapa,14,93036,115574
AP_Y.S.R. Kadapa,15,248488,31663
AP_Y.S.R. Kadapa,16,274484,85325
AP_Y.S.R. Kadapa,17,149352,127378
AR_Anjaw,1,0,0
AR_Anjaw,2,0,0
AR_Anjaw,3,0,0
AR_Anjaw,4,0,0
AR_Anjaw,5,0,0
AR_Anjaw,6,0,0
AR_Anjaw,7,0,0
AR_Anjaw,8,0,0
AR_Anjaw,9,0,0
AR_Anjaw,10,0,0
AR_Anjaw,11,0,0
AR_Anjaw,12,391,288
AR_Anjaw,13,971,325
AR_Anjaw,14,1253,625
AR_Anjaw,15,2368,21
AR_Anjaw,16,4370,334
AR_Anjaw,17,1182,956
AR_Changlang,1,0,0
AR_Changlang,2,0,0
AR_Changlang,3,0,0
AR_Changlang,4,0,0
AR_Changlang,5,0,0
AR_Changlang,6,0,0
AR_Changlang,7,0,0
AR_Changlang,8,0,0
AR_Changlang,9,0,0
AR_Changlang,10,0,0
AR_Changlang,11,0,0
AR_Changlang,12,2114,813
AR_Changlang,13,7617,1387
AR_Changlang,14,8032,2038
AR_Changlang,15,11005,396
AR_Changlang,16,35250,4923
AR_Changlang,17,10604,7349
AR_East Kameng,1,0,0
AR_East Kameng,2,0,0
AR_East Kameng,3,0,0
AR_East Kameng,4,0,0
AR_East Kameng,5,0,0
AR_East Kameng,6,0,0
AR_East Kameng,7,0,0
AR_East Kameng,8,0,0
AR_East Kameng,9,0,0
AR_East Kameng,10,0,0
AR_East Kameng,11,0,0
AR_East Kameng,12,676,256
AR_East Kameng,13,2351,516
AR_East Kameng,14,3264,1049
AR_East Kameng,15,5195,38
AR_East Kameng,16,5214,1392
AR_East Kameng,17,3461,2932
AR_East Siang,1,0,0
AR_East Siang,2,0,0
AR_East Siang,3,0,0
AR_East Siang,4,0,0
AR_East Siang,5,0,0
AR_East Siang,6,0,0
AR_East Siang,7,0,0
AR_East Siang,8,0,0
AR_East Siang,9,0,0
AR_East Siang,10,0,0
AR_East Siang,11,0,0
AR_East Siang,12,1647,891
AR_East Siang,13,8343,1464
AR_East Siang,14,6560,6033
AR_East Siang,15,5425,35
AR_East Siang,16,25956,3016
AR_East Siang,17,2471,4565
AR_Kamle,1,0,0
AR_Kamle,2,0,0
AR_Kamle,3,0,0
AR_Kamle,4,0,0
AR_Kamle,5,0,0
AR_Kamle,6,0,0
AR_Kamle,7,0,0
AR_Kamle,8,0,0
AR_Kamle,9,0,0
AR_Kamle,10,0,0
AR_Kamle,11,0,0
AR_Kamle,12,91,142
AR_Kamle,13,485,107
AR_Kamle,14,969,286
AR_Kamle,15,888,2
AR_Kamle,16,2143,269
AR_Kamle,17,1455,731
AR_Kra Daadi,1,0,0
AR_Kra Daadi,2,0,0
AR_Kra Daadi,3,0,0
AR_Kra Daadi,4,0,0
AR_Kra Daadi,5,0,0
AR_Kra Daadi,6,0,0
AR_Kra Daadi,7,0,0
AR_Kra Daadi,8,0,0
AR_Kra Daadi,9,0,0
AR_Kra Daadi,10,0,0
AR_Kra Daadi,11,0,0
AR_Kra Daadi,12,177,218
AR_Kra Daadi,13,764,83
AR_Kra Daadi,14,664,416
AR_Kra Daadi,15,1527,12
AR_Kra Daadi,16,1749,182
AR_Kra Daadi,17,751,830
AR_Kurung Kumey,1,0,0
AR_Kurung Kumey,2,0,0
AR_Kurung Kumey,3,0,0
AR_Kurung Kumey,4,0,0
AR_Kurung Kumey,5,0,0
AR_Kurung Kumey,6,0,0
AR_Kurung Kumey,7,0,0
AR_Kurung Kumey,8,0,0
AR_Kurung Kumey,9,0,0
AR_Kurung Kumey,10,0,0
AR_Kurung Kumey,11,0,0
AR_Kurung Kumey,12,310,276
AR_Kurung Kumey,13,2004,231
AR_Kurung Kumey,14,914,1415
AR_Kurung Kumey,15,1069,27
AR_Kurung Kumey,16,2270,350
AR_Kurung Kumey,17,1540,548
AR_Lepa Rada,1,0,0
AR_Lepa Rada,2,0,0
AR_Lepa Rada,3,0,0
AR_Lepa Rada,4,0,0
AR_Lepa Rada,5,0,0
AR_Lepa Rada,6,0,0
AR_Lepa Rada,7,0,0
AR_Lepa Rada,8,0,0
AR_Lepa Rada,9,0,0
AR_Lepa Rada,10,0,0
AR_Lepa Rada,11,0,0
AR_Lepa Rada,12,1070,550
AR_Lepa Rada,13,1875,638
AR_Lepa Rada,14,1326,1325
AR_Lepa Rada,15,1613,8
AR_Lepa Rada,16,5398,1183
AR_Lepa Rada,17,1072,1255
AR_Lohit,1,0,0
AR_Lohit,2,0,0
AR_Lohit,3,0,0
AR_Lohit,4,0,0
AR_Lohit,5,0,0
AR_Lohit,6,0,0
AR_Lohit,7,0,0
AR_Lohit,8,0,0
AR_Lohit,9,0,0
AR_Lohit,10,0,0
AR_Lohit,11,0,0
AR_Lohit,12,1354,381
AR_Lohit,13,2120,634
AR_Lohit,14,3111,968
AR_Lohit,15,3895,55
AR_Lohit,16,12351,1767
AR_Lohit,17,4521,2905
AR_Longding,1,0,0
AR_Longding,2,0,0
AR_Longding,3,0,0
AR_Longding,4,0,0
AR_Longding,5,0,0
AR_Longding,6,0,0
AR_Longding,7,0,0
AR_Longding,8,0,0
AR_Longding,9,0,0
AR_Longding,10,0,0
AR_Longding,11,0,0
AR_Longding,12,1161,187
AR_Longding,13,849,686
AR_Longding,14,1758,614
AR_Longding,15,3758,140
AR_Longding,16,7626,370
AR_Longding,17,2421,1207
AR_Lower Dibang Valley,1,0,0
AR_Lower Dibang Valley,2,0,0
AR_Lower Dibang Valley,3,0,0
AR_Lower Dibang Valley,4,0,0
AR_Lower Dibang Valley,5,0,0
AR_Lower Dibang Valley,6,0,0
AR_Lower Dibang Valley,7,0,0
AR_Lower Dibang Valley,8,0,0
AR_Lower Dibang Valley,9,0,0
AR_Lower Dibang Valley,10,0,0
AR_Lower Dibang Valley,11,0,0
AR_Lower Dibang Valley,12,1252,278
AR_Lower Dibang Valley,13,3590,992
AR_Lower Dibang Valley,14,3807,1267
AR_Lower Dibang Valley,15,3541,45
AR_Lower Dibang Valley,16,13632,2974
AR_Lower Dibang Valley,17,3679,2546
AR_Lower Siang,1,0,0
AR_Lower Siang,2,0,0
AR_Lower Siang,3,0,0
AR_Lower Siang,4,0,0
AR_Lower Siang,5,0,0
