districtid,weekid,dose1,dose2
AN_Nicobars,1,0,0
AN_Nicobars,2,0,0
AN_Nicobars,3,0,0
AN_Nicobars,4,0,0
AN_Nicobars,5,0,0
AN_Nicobars,6,0,0
AN_Nicobars,7,0,0
AN_Nicobars,8,0,0
AN_Nicobars,9,0,0
AN_Nicobars,10,0,0
AN_Nicobars,11,0,0
AN_Nicobars,12,0,0
AN_Nicobars,13,0,0
AN_Nicobars,14,0,0
AN_Nicobars,15,0,0
AN_Nicobars,16,0,0
AN_Nicobars,17,0,0
AN_Nicobars,18,0,0
AN_Nicobars,19,0,0
AN_Nicobars,20,0,0
AN_Nicobars,21,0,0
AN_Nicobars,22,0,0
AN_Nicobars,23,0,0
AN_Nicobars,24,0,0
AN_Nicobars,25,0,0
AN_Nicobars,26,0,0
AN_Nicobars,27,0,0
AN_Nicobars,28,0,0
AN_Nicobars,29,0,0
AN_Nicobars,30,0,0
AN_Nicobars,31,0,0
AN_Nicobars,32,0,0
AN_Nicobars,33,0,0
AN_Nicobars,34,0,0
AN_Nicobars,35,0,0
AN_Nicobars,36,0,0
AN_Nicobars,37,0,0
AN_Nicobars,38,0,0
AN_Nicobars,39,0,0
AN_Nicobars,40,0,0
AN_Nicobars,41,0,0
AN_Nicobars,42,0,0
AN_Nicobars,43,0,0
AN_Nicobars,44,0,0
AN_Nicobars,45,206,0
AN_Nicobars,46,78,0
AN_Nicobars,47,59,0
AN_Nicobars,48,17,0
AN_Nicobars,49,36,40
AN_Nicobars,50,171,204
AN_Nicobars,51,81,6
AN_Nicobars,52,99,54
AN_Nicobars,53,395,7
AN_Nicobars,54,626,85
AN_Nicobars,55,457,14
AN_Nicobars,56,1682,85
AN_Nicobars,57,2604,48
AN_Nicobars,58,1292,123
AN_Nicobars,59,356,227
AN_Nicobars,60,161,751
AN_Nicobars,61,39,261
AN_Nicobars,62,119,0
AN_Nicobars,63,161,0
AN_Nicobars,64,10,1
AN_Nicobars,65,71,0
AN_Nicobars,66,1192,1
AN_Nicobars,67,3719,51
AN_Nicobars,68,2059,1509
AN_Nicobars,69,433,2375
AN_Nicobars,70,2646,1131
AN_Nicobars,71,1636,653
AN_Nicobars,72,1048,286
AN_Nicobars,73,465,85
AN_Nicobars,74,163,113
AN_North and Middle Andaman,1,0,0
AN_North and Middle Andaman,2,0,0
AN_North and Middle Andaman,3,0,0
AN_North and Middle Andaman,4,0,0
AN_North and Middle Andaman,5,0,0
AN_North and Middle Andaman,6,0,0
AN_North and Middle Andaman,7,0,0
AN_North and Middle Andaman,8,0,0
AN_North and Middle Andaman,9,0,0
AN_North and Middle Andaman,10,0,0
AN_North and Middle Andaman,11,0,0
AN_North and Middle Andaman,12,0,0
AN_North and Middle Andaman,13,0,0
AN_North and Middle Andaman,14,0,0
AN_North and Middle Andaman,15,0,0
AN_North and Middle Andaman,16,0,0
AN_North and Middle Andaman,17,0,0
AN_North and Middle Andaman,18,0,0
AN_North and Middle Andaman,19,0,0
AN_North and Middle Andaman,20,0,0
AN_North and Middle Andaman,21,0,0
AN_North and Middle Andaman,22,0,0
AN_North and Middle Andaman,23,0,0
AN_North and Middle Andaman,24,0,0
AN_North and Middle Andaman,25,0,0
AN_North and Middle Andaman,26,0,0
AN_North and Middle Andaman,27,0,0
AN_North and Middle Andaman,28,0,0
AN_North and Middle Andaman,29,0,0
AN_North and Middle Andaman,30,0,0
AN_North and Middle Andaman,31,0,0
AN_North and Middle Andaman,32,0,0
AN_North and Middle Andaman,33,0,0
AN_North and Middle Andaman,34,0,0
AN_North and Middle Andaman,35,0,0
AN_North and Middle Andaman,36,0,0
AN_North and Middle Andaman,37,0,0
AN_North and Middle Andaman,38,0,0
AN_North and Middle Andaman,39,0,0
AN_North and Middle Andaman,40,0,0
AN_North and Middle Andaman,41,0,0
AN_North and Middle Andaman,42,0,0
AN_North and Middle Andaman,43,0,0
AN_North and Middle Andaman,44,0,0
AN_North and Middle Andaman,45,390,0
AN_North and Middle Andaman,46,599,0
AN_North and Middle Andaman,47,123,0
AN_North and Middle Andaman,48,1,0
AN_North and Middle Andaman,49,43,367
AN_North and Middle Andaman,50,280,483
AN_North and Middle Andaman,51,391,42
AN_North and Middle Andaman,52,190,50
AN_North and Middle Andaman,53,499,33
AN_North and Middle Andaman,54,329,124
AN_North and Middle Andaman,55,982,72
AN_North and Middle Andaman,56,3277,148
AN_North and Middle Andaman,57,15367,318
AN_North and Middle Andaman,58,5847,330
AN_North and Middle Andaman,59,1196,380
AN_North and Middle Andaman,60,276,510
AN_North and Middle Andaman,61,260,411
AN_North and Middle Andaman,62,935,12
AN_North and Middle Andaman,63,1089,2
AN_North and Middle Andaman,64,357,7
AN_North and Middle Andaman,65,901,2
AN_North and Middle Andaman,66,1330,1
AN_North and Middle Andaman,67,5035,152
AN_North and Middle Andaman,68,5541,2730
AN_North and Middle Andaman,69,1452,13236
AN_North and Middle Andaman,70,4895,6202
AN_North and Middle Andaman,71,5142,1787
AN_North and Middle Andaman,72,6386,823
AN_North and Middle Andaman,73,279,360
AN_North and Middle Andaman,74,4651,699
AN_South Andaman,1,0,0
AN_South Andaman,2,0,0
AN_South Andaman,3,0,0
AN_South Andaman,4,0,0
AN_South Andaman,5,0,0
AN_South Andaman,6,0,0
AN_South Andaman,7,0,0
AN_South Andaman,8,0,0
AN_South Andaman,9,0,0
AN_South Andaman,10,0,0
AN_South Andaman,11,0,0
AN_South Andaman,12,0,0
AN_South Andaman,13,0,0
AN_South Andaman,14,0,0
AN_South Andaman,15,0,0
AN_South Andaman,16,0,0
AN_South Andaman,17,0,0
AN_South Andaman,18,0,0
AN_South Andaman,19,0,0
AN_South Andaman,20,0,0
AN_South Andaman,21,0,0
AN_South Andaman,22,0,0
AN_South Andaman,23,0,0
AN_South Andaman,24,0,0
AN_South Andaman,25,0,0
AN_South Andaman,26,0,0
AN_South Andaman,27,0,0
AN_South Andaman,28,0,0
AN_South Andaman,29,0,0
AN_South Andaman,30,0,0
AN_South Andaman,31,0,0
AN_South Andaman,32,0,0
AN_South Andaman,33,0,0
AN_South Andaman,34,0,0
AN_South Andaman,35,0,0
AN_South Andaman,36,0,0
AN_South Andaman,37,0,0
AN_South Andaman,38,0,0
AN_South Andaman,39,0,0
AN_South Andaman,40,0,0
AN_South Andaman,41,0,0
AN_South Andaman,42,0,0
AN_South Andaman,43,0,0
AN_South Andaman,44,0,0
AN_South Andaman,45,301,0
AN_South Andaman,46,463,0
AN_South Andaman,47,538,0
AN_South Andaman,48,242,0
AN_South Andaman,49,1588,539
AN_South Andaman,50,871,327
AN_South Andaman,51,1787,202
AN_South Andaman,52,2816,426
AN_South Andaman,53,962,831
AN_South Andaman,54,1001,1260
AN_South Andaman,55,1354,57
AN_South Andaman,56,6906,114
AN_South Andaman,57,19617,632
AN_South Andaman,58,12206,2276
AN_South Andaman,59,5654,1184
AN_South Andaman,60,3200,1180
AN_South Andaman,61,2120,929
AN_South Andaman,62,2493,14
AN_South Andaman,63,3462,8
AN_South Andaman,64,3287,49
AN_South Andaman,65,2766,127
AN_South Andaman,66,2971,152
AN_South Andaman,67,13373,592
AN_South Andaman,68,8401,4233
AN_South Andaman,69,4881,16103
AN_South Andaman,70,7036,13378
AN_South Andaman,71,5267,6839
AN_South Andaman,72,7267,3964
AN_South Andaman,73,6858,2254
AN_South Andaman,74,12874,2226
AP_Anantapur,1,0,0
AP_Anantapur,2,0,0
AP_Anantapur,3,0,0
AP_Anantapur,4,0,0
AP_Anantapur,5,0,0
AP_Anantapur,6,0,0
AP_Anantapur,7,0,0
AP_Anantapur,8,0,0
AP_Anantapur,9,0,0
AP_Anantapur,10,0,0
AP_Anantapur,11,0,0
AP_Anantapur,12,0,0
AP_Anantapur,13,0,0
AP_Anantapur,14,0,0
AP_Anantapur,15,0,0
AP_Anantapur,16,0,0
AP_Anantapur,17,0,0
AP_Anantapur,18,0,0
AP_Anantapur,19,0,0
AP_Anantapur,20,0,0
AP_Anantapur,21,0,0
AP_Anantapur,22,0,0
AP_Anantapur,23,0,0
AP_Anantapur,24,0,0
AP_Anantapur,25,0,0
AP_Anantapur,26,0,0
AP_Anantapur,27,0,0
AP_Anantapur,28,0,0
AP_Anantapur,29,0,0
AP_Anantapur,30,0,0
AP_Anantapur,31,0,0
AP_Anantapur,32,0,0
AP_Anantapur,33,0,0
AP_Anantapur,34,0,0
AP_Anantapur,35,0,0
AP_Anantapur,36,0,0
AP_Anantapur,37,0,0
AP_Anantapur,38,0,0
AP_Anantapur,39,0,0
AP_Anantapur,40,0,0
AP_Anantapur,41,0,0
AP_Anantapur,42,0,0
AP_Anantapur,43,0,0
AP_Anantapur,44,0,0
AP_Anantapur,45,3802,0
AP_Anantapur,46,3115,0
AP_Anantapur,47,5029,0
AP_Anantapur,48,3090,730
AP_Anantapur,49,7823,6535
AP_Anantapur,50,12487,2936
AP_Anantapur,51,5747,1603
AP_Anantapur,52,11607,1665
AP_Anantapur,53,36732,2275
AP_Anantapur,54,76134,8658
AP_Anantapur,55,41180,2254
AP_Anantapur,56,56584,3931
AP_Anantapur,57,36604,2764
AP_Anantapur,58,63009,33895
AP_Anantapur,59,49088,38962
AP_Anantapur,60,28427,54745
AP_Anantapur,61,4609,11140
AP_Anantapur,62,5383,5770
AP_Anantapur,63,117444,7162
AP_Anantapur,64,60972,8832
AP_Anantapur,65,50427,8729
AP_Anantapur,66,25728,736
AP_Anantapur,67,122622,21682
AP_Anantapur,68,105115,28536
AP_Anantapur,69,19108,979
AP_Anantapur,70,85573,93324
AP_Anantapur,71,29879,59407
AP_Anantapur,72,84350,66175
AP_Anantapur,73,107455,64406
AP_Anantapur,74,104964,59515
AP_Chittoor,1,0,0
AP_Chittoor,2,0,0
AP_Chittoor,3,0,0
AP_Chittoor,4,0,0
AP_Chittoor,5,0,0
AP_Chittoor,6,0,0
AP_Chittoor,7,0,0
AP_Chittoor,8,0,0
AP_Chittoor,9,0,0
AP_Chittoor,10,0,0
AP_Chittoor,11,0,0
AP_Chittoor,12,0,0
AP_Chittoor,13,0,0
AP_Chittoor,14,0,0
AP_Chittoor,15,0,0
AP_Chittoor,16,0,0
AP_Chittoor,17,0,0
AP_Chittoor,18,0,0
AP_Chittoor,19,0,0
AP_Chittoor,20,0,0
AP_Chittoor,21,0,0
AP_Chittoor,22,0,0
AP_Chittoor,23,0,0
AP_Chittoor,24,0,0
AP_Chittoor,25,0,0
AP_Chittoor,26,0,0
AP_Chittoor,27,0,0
AP_Chittoor,28,0,0
AP_Chittoor,29,0,0
AP_Chittoor,30,0,0
AP_Chittoor,31,0,0
AP_Chittoor,32,0,0
AP_Chittoor,33,0,0
AP_Chittoor,34,0,0
AP_Chittoor,35,0,0
AP_Chittoor,36,0,0
AP_Chittoor,37,0,0
AP_Chittoor,38,0,0
AP_Chittoor,39,0,0
AP_Chittoor,40,0,0
AP_Chittoor,41,0,0
AP_Chittoor,42,0,0
AP_Chittoor,43,0,0
AP_Chittoor,44,0,0
AP_Chittoor,45,5540,0
AP_Chittoor,46,5056,0
AP_Chittoor,47,11874,0
AP_Chittoor,48,7110,340
