state/ut,age-group,percentage
India,30-49,2.2683875874261696
JAMMU & KASHMIR,30-49,4.845948211756642
HIMACHAL PRADESH,30-49,1.643168824645624
PUNJAB,30-49,8.372874958305305
CHANDIGARH,30-49,9.276422379080012
UTTARAKHAND,30-49,0.5454234321195539
HARYANA,30-49,1.3423446742440337
NCT OF DELHI,30-49,2.796674112686005
RAJASTHAN,30-49,0.39489448898740026
UTTAR PRADESH,30-49,0.33969123058320005
BIHAR,30-49,0.43393312003217843
SIKKIM,30-49,8.821491802016782
ARUNACHAL PRADESH,30-49,8.571199376755676
NAGALAND,30-49,8.176236364683987
MANIPUR,30-49,7.587241936918419
MIZORAM,30-49,1.8403107529488538
TRIPURA,30-49,1.9364890388106208
MEGHALAYA,30-49,3.170627549598249
ASSAM,30-49,4.957235847849756
WEST BENGAL,30-49,1.1174237641468416
JHARKHAND,30-49,1.4827028409669973
ODISHA,30-49,4.435563278391512
CHHATTISGARH,30-49,0.5689719061876131
MADHYA PRADESH,30-49,0.5203698265195708
GUJARAT,30-49,4.431144354607234
DAMAN & DIU,30-49,4.9920451228586575
DADRA & NAGAR HAVELI,30-49,6.2829312005213716
MAHARASHTRA,30-49,5.635884842137394
ANDHRA PRADESH,30-49,2.2310424034056817
KARNATAKA,30-49,4.3656142632386254
GOA,30-49,19.211817256238238
LAKSHADWEEP,30-49,5.748142633350395
KERALA,30-49,3.260947167641225
TAMIL NADU,30-49,1.186496519676555
PUDUCHERRY,30-49,2.113701397408396
ANDAMAN & NICOBAR ISLANDS,30-49,7.1154366613152
