state/ut,age-group,literacy-group,ratio-of-3
India,30-49,Matric/Secondary but below graduate,0.0006350600944264969
JAMMU & KASHMIR,30-49,Matric/Secondary but below graduate,0.003230374026550663
HIMACHAL PRADESH,30-49,Matric/Secondary but below graduate,0.00042639890641620336
PUNJAB,30-49,Matric/Secondary but below graduate,0.012191394812899027
CHANDIGARH,30-49,Graduate and above,0.011872273769161288
UTTARAKHAND,30-49,Matric/Secondary but below graduate,3.7515566698570864e-05
HARYANA,30-49,Matric/Secondary but below graduate,0.000270941015205089
NCT OF DELHI,30-49,Graduate and above,0.001098656329571846
RAJASTHAN,30-49,Matric/Secondary but below graduate,2.1854495065249277e-05
UTTAR PRADESH,30-49,Matric/Secondary but below graduate,1.598568440098335e-05
BIHAR,30-49,Matric/Secondary but below graduate,2.0959830350278885e-05
SIKKIM,30-49,Matric/Secondary but below graduate,0.008055079579444388
ARUNACHAL PRADESH,30-49,Matric/Secondary but below graduate,0.006813279881417989
NAGALAND,30-49,Matric/Secondary but below graduate,0.006574414718919723
MANIPUR,30-49,Matric/Secondary but below graduate,0.006026633481716949
MIZORAM,30-49,Matric/Secondary but below graduate,0.000310160776039597
TRIPURA,30-49,Matric/Secondary but below graduate,0.00035613965934809424
MEGHALAYA,30-49,Matric/Secondary but below graduate,0.0009529978450928682
ASSAM,30-49,Matric/Secondary but below graduate,0.002240912010518303
WEST BENGAL,30-49,Graduate and above,0.00014461937320000157
JHARKHAND,30-49,Matric/Secondary but below graduate,0.00021372893948198
ODISHA,30-49,Matric/Secondary but below graduate,0.0023430291685246226
CHHATTISGARH,30-49,Matric/Secondary but below graduate,2.5107180282216834e-05
MADHYA PRADESH,30-49,Matric/Secondary but below graduate,3.0950647209556666e-05
GUJARAT,30-49,Matric/Secondary but below graduate,0.0026330999815441644
DAMAN & DIU,30-49,Matric/Secondary but below graduate,0.003508122169241384
DADRA & NAGAR HAVELI,30-49,Matric/Secondary but below graduate,0.0035345818030159595
MAHARASHTRA,30-49,Matric/Secondary but below graduate,0.0039031915126092913
ANDHRA PRADESH,30-49,Matric/Secondary but below graduate,0.0006576091383010288
KARNATAKA,30-49,Matric/Secondary but below graduate,0.0020770454864537592
GOA,30-49,Matric/Secondary but below graduate,0.038897032804739794
LAKSHADWEEP,30-49,Matric/Secondary but below graduate,0.004345454251384273
KERALA,30-49,Matric/Secondary but below graduate,0.001466781236334244
TAMIL NADU,30-49,Matric/Secondary but below graduate,0.0001543068119986803
PUDUCHERRY,30-49,Graduate and above,0.0005103731006544894
ANDAMAN & NICOBAR ISLANDS,30-49,Matric/Secondary but below graduate,0.005742926418439674
