state/ut,literacy-group,males,literacy-group,females
India,Matric/Secondary but below graduate,0.057136212650788804,Matric/Secondary but below graduate,0.04032363884534581
JAMMU & KASHMIR,Matric/Secondary but below graduate,0.10034481501994831,Middle but below matric/secondary,0.06437047506711137
HIMACHAL PRADESH,Matric/Secondary but below graduate,0.049106328691483,Matric/Secondary but below graduate,0.035278321142485844
PUNJAB,Matric/Secondary but below graduate,0.06379310992580671,Primary but below middle,0.04842392779600352
CHANDIGARH,Matric/Secondary but below graduate,0.0916176853011127,Matric/Secondary but below graduate,0.07244301128716667
UTTARAKHAND,Matric/Secondary but below graduate,0.04567796202751659,Matric/Secondary but below graduate,0.029498926850639554
HARYANA,Matric/Secondary but below graduate,0.07328599437380537,Matric/Secondary but below graduate,0.049596482267283186
NCT OF DELHI,Matric/Secondary but below graduate,0.11992988793329629,Graduate and above,0.09903475559298851
RAJASTHAN,Matric/Secondary but below graduate,0.024700488709219603,Primary but below middle,0.015145508257610288
UTTAR PRADESH,Matric/Secondary but below graduate,0.03298530989176833,Matric/Secondary but below graduate,0.021715422627306927
BIHAR,Primary but below middle,0.02888460269570317,Literate but below primary,0.02467892494564824
SIKKIM,Literate but below primary,0.09342866870956759,Primary but below middle,0.08241886284507856
ARUNACHAL PRADESH,Literate but below primary,0.06241245419603537,Literate but below primary,0.05836984839097363
NAGALAND,Primary but below middle,0.08190707256826484,Primary but below middle,0.08682889292165565
MANIPUR,Matric/Secondary but below graduate,0.0785118164642225,Matric/Secondary but below graduate,0.06429402035551592
MIZORAM,Matric/Secondary but below graduate,0.07410428585062458,Matric/Secondary but below graduate,0.06976250629767083
TRIPURA,Primary but below middle,0.0651854270434534,Literate but below primary,0.055611958827278735
MEGHALAYA,Matric/Secondary but below graduate,0.04198260930185168,Matric/Secondary but below graduate,0.04100248329386593
ASSAM,Literate but below primary,0.06178710259825265,Primary but below middle,0.05115198459229983
WEST BENGAL,Matric/Secondary but below graduate,0.03699989320435992,Matric/Secondary but below graduate,0.024194186046093236
JHARKHAND,Primary but below middle,0.05481114793197882,Primary but below middle,0.04237785965827613
ODISHA,Primary but below middle,0.047493095461956306,Primary but below middle,0.03680160785416414
CHHATTISGARH,Primary but below middle,0.02388603662696531,Primary but below middle,0.01944447044725098
MADHYA PRADESH,Matric/Secondary but below graduate,0.027570524391671174,Matric/Secondary but below graduate,0.018792241603429297
GUJARAT,Matric/Secondary but below graduate,0.09362311955761694,Primary but below middle,0.07322745494470996
DAMAN & DIU,Matric/Secondary but below graduate,0.12599383902968045,Matric/Secondary but below graduate,0.11356056204677985
DADRA & NAGAR HAVELI,Matric/Secondary but below graduate,0.08155966143682906,Literate but below primary,0.07007715956758631
MAHARASHTRA,Matric/Secondary but below graduate,0.1141980771063936,Matric/Secondary but below graduate,0.08177263211433197
ANDHRA PRADESH,Matric/Secondary but below graduate,0.06148737153865877,Matric/Secondary but below graduate,0.04050890974602379
KARNATAKA,Matric/Secondary but below graduate,0.07498914073934426,Matric/Secondary but below graduate,0.056931676969156256
GOA,Matric/Secondary but below graduate,0.06782882809751874,Literate but below primary,0.05528040533496431
LAKSHADWEEP,Matric/Secondary but below graduate,0.05902243154303656,Matric/Secondary but below graduate,0.04261562998405104
KERALA,Matric/Secondary but below graduate,0.07594919254587079,Matric/Secondary but below graduate,0.06486062294025272
TAMIL NADU,Matric/Secondary but below graduate,0.10409617583719065,Matric/Secondary but below graduate,0.08050230698917259
PUDUCHERRY,Matric/Secondary but below graduate,0.12914706837918014,Matric/Secondary but below graduate,0.10084476632013623
ANDAMAN & NICOBAR ISLANDS,Primary but below middle,0.12153043066776424,Primary but below middle,0.10810871644814586
